pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
KOI-351,h,KOI-351 h,Transit,0,8,331.60059,0.00037,-0.00037,0,3,1.01,0.11,-0.11,0,1,,,,,0,89.6,1.3,-1.3,0,1,,,,,1,,1.008,0.089,-0.089,0,4,,,,,0,0,1,0,18h57m44.04s,+49d18m18.6s,284.433492,0.000017,49.305161,0.000017,2,780,100,-100,0,3,13.804,,0,Kepler-band,13.74,,0,6080,260,-170,0,7,1.2,0.1,-0.1,0,3,1.2,0.1,-0.1,0,7,1,14/05/2014,Kepler
Kepler-91,b,Kepler-91 b,Transit,0,1,6.24658,0.00008,-0.00008,0,8,0.0731,0.0034,-0.0031,0,3,,,,,4,69.68,0.67,-0.57,0,5,0.81,0.18,-0.17,0,5,Mass,1.367,0.069,-0.06,0,6,0.4,0.2,-0.1,0,3,0,1,0,19h02m41.49s,+44d07m00.2s,285.672872,0.000017,44.116734,0.000017,2,1344.56,43.59,-43.59,0,4,12.495,,0,Kepler-band,12.476,,0,4550,75,-75,0,8,1.31,0.1,-0.1,0,5,6.3,0.16,-0.16,0,8,1,15/10/2015,Kepler
Kepler-92,b,Kepler-92 b,Transit,0,3,13.749,,,0,5,,,,,0,,,,,1,,,,,0,0.202,0.044,-0.044,0,1,Mass,0.313,0.009,-0.009,0,4,,,,,0,1,1,0,19h16m20.65s,+41d33m46.6s,289.086058,0.000019,41.562941,0.000017,2,484.62,5.48,-5.48,0,3,11.565,,0,Kepler-band,11.745,,0,5883,,,0,4,,,,,3,1.53,,,0,6,1,14/05/2014,Kepler
Kepler-92,c,Kepler-92 c,Transit,0,3,26.723,,,0,5,,,,,0,,,,,1,,,,,0,0.019,0.006,-0.006,0,1,Mass,0.232,0.007,-0.007,0,4,,,,,0,1,1,0,19h16m20.65s,+41d33m46.6s,289.086058,0.000019,41.562941,0.000017,2,484.62,5.48,-5.48,0,3,11.565,,0,Kepler-band,11.745,,0,5883,,,0,4,,,,,3,1.53,,,0,6,1,14/05/2014,Kepler
Kepler-93,b,Kepler-93 b,Transit,0,2,4.72674,0.000001,-0.000001,0,7,,,,,1,0,,,0,2,89.18,0.04,-0.04,0,3,0.01,0,0,0,4,Mass,0.14,0.01,-0.01,0,6,,,,,3,0,1,0,19h25m40.39s,+38d40m20.5s,291.418281,0.000017,38.672354,0.000017,2,96.18,0.22,-0.22,0,2,9.931,,0,Kepler-band,9.862,,0,5669,75,-75,0,7,1.09,0.14,-0.14,0,3,0.98,0.04,-0.04,0,7,1,26/04/2018,Kepler
Kepler-93,c,Kepler-93 c,Radial Velocity,0,2,1460,,,-1,2,,,,,0,,,,,0,,,,,0,3,,,-1,2,Mass,,,,,0,,,,,0,0,1,0,19h25m40.39s,+38d40m20.5s,291.418281,0.000017,38.672354,0.000017,2,96.18,0.22,-0.22,0,2,9.931,,0,Kepler-band,9.862,,0,5669,75,-75,0,7,1.09,0.14,-0.14,0,3,0.98,0.04,-0.04,0,7,0,14/05/2014,W. M. Keck Observatory
Kepler-94,b,Kepler-94 b,Transit,0,2,2.50806,,,0,5,,,,,1,,,,,0,,,,,0,0.034,0.004,-0.004,0,1,Mass,0.313,0.013,-0.013,0,4,1.45,0.26,-0.26,0,1,0,1,0,18h44m46.74s,+47d29m49.7s,281.194747,0.000019,47.497148,0.000017,2,192.97,0.82,-0.82,0,3,12.895,,0,Kepler-band,12.857,,0,4781,98,-98,0,7,0.81,0.06,-0.06,0,3,0.76,0.03,-0.03,0,7,1,14/05/2014,Kepler
Kepler-94,c,Kepler-94 c,Radial Velocity,0,2,820.3,3,-3,0,1,,,,,0,,,,,0,,,,,0,9.836,0.629,-0.629,0,1,Mass,,,,,0,,,,,0,0,1,0,18h44m46.74s,+47d29m49.7s,281.194747,0.000019,47.497148,0.000017,2,192.97,0.82,-0.82,0,3,12.895,,0,Kepler-band,12.857,,0,4781,98,-98,0,7,0.81,0.06,-0.06,0,3,0.76,0.03,-0.03,0,7,0,14/05/2014,W. M. Keck Observatory
Kepler-95,b,Kepler-95 b,Transit,0,1,11.5231,,,0,4,,,,,0,,,,,0,,,,,0,0.041,0.009,-0.009,0,1,Mass,0.305,0.008,-0.008,0,3,1.71,0.37,-0.37,0,1,0,1,0,18h57m55.79s,+44d23m52.9s,284.482459,0.000017,44.398037,0.000017,2,451.38,5.81,-5.81,0,3,12.346,,0,Kepler-band,12.304,,0,5699,74,-74,0,6,1.08,0.08,-0.08,0,2,1.41,0.04,-0.04,0,6,1,14/05/2014,Kepler
Kepler-96,b,Kepler-96 b,Transit,0,1,16.2385,,,0,3,,,,,0,,,,,0,,,,,0,0.027,0.011,-0.011,0,1,Mass,0.238,0.02,-0.02,0,3,2.26,1.11,-1.11,0,1,0,1,0,19h48m16.71s,+40d31m30.5s,297.069643,0.000017,40.525141,0.000017,2,123.32,0.4,-0.4,0,3,10.297,,0,Kepler-band,10.297,,0,5690,73,-73,0,6,1,0.06,-0.06,0,2,1.02,0.09,-0.09,0,6,1,14/05/2014,Kepler
Kepler-97,b,Kepler-97 b,Transit,0,2,2.58664,,,0,4,,,,,0,,,,,0,,,,,0,0.011,0.006,-0.006,0,1,Mass,0.132,0.012,-0.012,0,3,5.44,3.48,-3.48,0,1,0,1,0,19h09m18.39s,+48d40m24.4s,287.326624,0.000022,48.673431,0.000017,2,405.58,3.58,-3.58,0,3,12.872,,0,Kepler-band,12.813,,0,5779,74,-74,0,6,0.94,0.06,-0.06,0,2,0.98,0.09,-0.09,0,6,1,14/05/2014,Kepler
Kepler-97,c,Kepler-97 c,Radial Velocity,0,2,789,,,-1,1,,,,,0,,,,,0,,,,,0,1.08,,,-1,1,Mass,,,,,0,,,,,0,0,1,0,19h09m18.39s,+48d40m24.4s,287.326624,0.000022,48.673431,0.000017,2,405.58,3.58,-3.58,0,3,12.872,,0,Kepler-band,12.813,,0,5779,74,-74,0,6,0.94,0.06,-0.06,0,2,0.98,0.09,-0.09,0,6,0,14/05/2014,W. M. Keck Observatory
Kepler-98,b,Kepler-98 b,Transit,0,1,1.54168,,,0,4,,,,,0,,,,,0,,,,,0,0.011,0.005,-0.005,0,1,Mass,0.178,0.02,-0.02,0,3,2.18,1.21,-1.21,0,1,0,1,0,19h02m38.80s,+37d57m52.2s,285.661662,0.000017,37.964506,0.000017,2,353.87,2.99,-2.99,0,3,12.899,,0,Kepler-band,12.869,,0,5539,73,-73,0,6,0.99,0.06,-0.06,0,2,1.11,0.12,-0.12,0,6,1,14/05/2014,Kepler
Kepler-99,b,Kepler-99 b,Transit,0,1,4.60358,,,0,4,,,,,0,,,,,0,,,,,0,0.019,0.004,-0.004,0,1,Mass,0.132,0.007,-0.007,0,3,10.9,2.82,-2.82,0,1,0,1,0,19h49m24.96s,+41d18m00.2s,297.354004,0.000017,41.300049,0.000017,2,209.63,1.04,-1.04,0,3,12.97,,0,Kepler-band,12.962,,0,4782,129,-129,0,6,0.79,0.06,-0.06,0,2,0.73,0.04,-0.04,0,6,1,14/05/2014,Kepler
Kepler-100,b,Kepler-100 b,Transit,0,3,6.88705,,,0,5,,,,,0,,,,,1,,,,,0,0.023,0.01,-0.01,0,1,Mass,0.118,0.004,-0.004,0,4,14.25,6.33,-6.33,0,1,0,1,0,19h25m32.63s,+41d59m25.0s,291.385979,0.000022,41.990273,0.000017,2,307.34,1.77,-1.77,0,3,11.197,,0,Kepler-band,11.129,,0,5825,75,-75,0,6,1.08,0.06,-0.06,0,4,1.49,0.04,-0.04,0,7,1,14/05/2014,Kepler
Kepler-100,c,Kepler-100 c,Transit,0,3,12.8159,,,0,5,,,,,0,,,,,1,,,,,0,0.02218,,,1,1,Mass,0.196,0.004,-0.004,0,4,,,,,0,0,1,0,19h25m32.63s,+41d59m25.0s,291.385979,0.000022,41.990273,0.000017,2,307.34,1.77,-1.77,0,3,11.197,,0,Kepler-band,11.129,,0,5825,75,-75,0,6,1.08,0.06,-0.06,0,4,1.49,0.04,-0.04,0,7,1,13/10/2016,Kepler
Kepler-100,d,Kepler-100 d,Transit,0,3,35.3331,,,0,5,,,,,0,,,,,1,,,,,0,0.00944,,,1,1,Mass,0.144,0.004,-0.004,0,4,,,,,0,0,1,0,19h25m32.63s,+41d59m25.0s,291.385979,0.000022,41.990273,0.000017,2,307.34,1.77,-1.77,0,3,11.197,,0,Kepler-band,11.129,,0,5825,75,-75,0,6,1.08,0.06,-0.06,0,4,1.49,0.04,-0.04,0,7,1,13/10/2016,Kepler
Kepler-101,b,Kepler-101 b,Transit,0,2,3.4876812,0.000007,-0.000007,0,4,0.0474,0.001,-0.0008,0,2,0.086,0.08,-0.059,0,1,85.82,1.73,-1.53,0,1,0.16,0.02,-0.01,0,1,Mass,0.51,0.08,-0.07,0,4,1.45,0.83,-0.48,0,1,0,1,0,18h53m01.32s,+48d21m18.8s,283.255489,0.000019,48.355228,0.000017,2,953.44,15.5,-15.5,0,3,13.8,,0,V (Johnson),13.567,,0,5667,50,-50,0,6,1.17,0.07,-0.05,0,3,1.56,0.2,-0.2,0,6,1,25/09/2014,Kepler
Kepler-101,c,Kepler-101 c,Transit,0,2,6.02976,0.000075,-0.000075,0,3,0.0684,0.0014,-0.0014,0,2,0,,,0,1,84.6,3.4,-3.1,0,1,0.01,,,1,1,Mass,0.112,0.017,-0.015,0,4,10.5,,,1,1,0,1,0,18h53m01.32s,+48d21m18.8s,283.255489,0.000019,48.355228,0.000017,2,953.44,15.5,-15.5,0,3,13.8,,0,V (Johnson),13.567,,0,5667,50,-50,0,6,1.17,0.07,-0.05,0,3,1.56,0.2,-0.2,0,6,1,25/09/2014,Kepler
Kepler-123,b,Kepler-123 b,Transit,0,2,17.232366,0.000056,-0.000056,0,5,0.135,,,0,1,,,,,0,,,,,0,,,,,1,,0.262,0.051,-0.051,0,4,,,,,0,0,1,0,19h47m59.67s,+42d46m55.0s,296.998621,0.000017,42.781956,0.000017,2,1052.14,23.21,-23.21,0,3,14.061,,0,Kepler-band,14.021,,0,6089,121,-121,0,6,,,,,3,1.26,0.24,-0.24,0,7,1,14/05/2014,Kepler
Kepler-123,c,Kepler-123 c,Transit,0,2,26.695074,0.000468,-0.000468,0,5,0.181,,,0,1,,,,,0,,,,,0,,,,,0,,0.132,0.027,-0.027,0,3,,,,,0,0,1,0,19h47m59.67s,+42d46m55.0s,296.998621,0.000017,42.781956,0.000017,2,1052.14,23.21,-23.21,0,3,14.061,,0,Kepler-band,14.021,,0,6089,121,-121,0,6,,,,,3,1.26,0.24,-0.24,0,7,1,14/05/2014,Kepler
Kepler-124,b,Kepler-124 b,Transit,0,3,3.410493,0.000021,-0.000021,0,2,0.039,,,0,1,,,,,0,,,,,0,,,,,0,,0.065,0.004,-0.004,0,3,,,,,0,0,1,0,19h07m00.67s,+49d03m53.7s,286.752797,0.000019,49.064911,0.000019,2,425.19,3.08,-3.08,0,3,14.139,,0,Kepler-band,14.124,,0,4984,100,-100,0,6,,,,,1,0.64,0.03,-0.03,0,6,1,14/05/2014,Kepler
Kepler-124,c,Kepler-124 c,Transit,0,3,13.821375,0.000037,-0.000037,0,4,0.1,,,0,1,,,,,0,,,,,0,,,,,0,,0.156,0.008,-0.008,0,3,,,,,0,0,1,0,19h07m00.67s,+49d03m53.7s,286.752797,0.000019,49.064911,0.000019,2,425.19,3.08,-3.08,0,3,14.139,,0,Kepler-band,14.124,,0,4984,100,-100,0,6,,,,,1,0.64,0.03,-0.03,0,6,1,14/05/2014,Kepler
Kepler-124,d,Kepler-124 d,Transit,0,3,30.950851,0.000361,-0.000361,0,4,0.17,,,0,1,,,,,0,,,,,0,,,,,0,,0.099,0.006,-0.006,0,3,,,,,0,0,1,0,19h07m00.67s,+49d03m53.7s,286.752797,0.000019,49.064911,0.000019,2,425.19,3.08,-3.08,0,3,14.139,,0,Kepler-band,14.124,,0,4984,100,-100,0,6,,,,,1,0.64,0.03,-0.03,0,6,1,14/05/2014,Kepler
Kepler-125,b,Kepler-125 b,Transit,0,2,4.164389,0.000003,-0.000003,0,7,0.041,,,0,2,,,,,0,,,,,0,,,,,0,,0.211,0.009,-0.009,0,7,,,,,0,0,1,0,19h53m01.95s,+47d36m17.8s,298.258123,0.000017,47.604946,0.000017,2,184.34,0.99,-0.99,0,3,14.752,,0,Kepler-band,14.768,,0,3810,150,-150,0,9,,,,,5,0.51,0.02,-0.02,0,8,1,14/05/2014,Kepler
Kepler-125,c,Kepler-125 c,Transit,0,2,5.774464,0.000047,-0.000047,0,5,0.051,,,0,1,,,,,0,,,,,0,,,,,0,,0.066,0.004,-0.004,0,6,,,,,0,0,1,0,19h53m01.95s,+47d36m17.8s,298.258123,0.000017,47.604946,0.000017,2,184.34,0.99,-0.99,0,3,14.752,,0,Kepler-band,14.768,,0,3810,150,-150,0,9,,,,,5,0.51,0.02,-0.02,0,8,1,14/05/2014,Kepler
Kepler-126,b,Kepler-126 b,Transit,0,3,10.495711,0.000028,-0.000028,0,5,0.099,,,0,1,,,,,1,,,,,0,,,,,0,,0.136,0.009,-0.009,0,4,,,,,0,1,1,0,19h17m23.35s,+44d12m30.8s,289.347291,0.000017,44.208553,0.000017,2,239.03,1.67,-1.67,0,3,10.5,,0,Kepler-band,10.454,,0,6239,94,-94,0,5,,,,,2,1.36,0.02,-0.02,0,6,1,14/05/2014,Kepler
Kepler-126,c,Kepler-126 c,Transit,0,3,21.869741,0.000082,-0.000082,0,5,0.162,,,0,1,,,,,1,,,,,0,,,,,0,,0.141,0.012,-0.012,0,4,,,,,0,1,1,0,19h17m23.35s,+44d12m30.8s,289.347291,0.000017,44.208553,0.000017,2,239.03,1.67,-1.67,0,3,10.5,,0,Kepler-band,10.454,,0,6239,94,-94,0,5,,,,,2,1.36,0.02,-0.02,0,6,1,14/05/2014,Kepler
Kepler-126,d,Kepler-126 d,Transit,0,3,100.283134,0.000255,-0.000255,0,5,0.448,,,0,1,,,,,1,,,,,0,,,,,0,,0.223,0.004,-0.004,0,4,,,,,0,1,1,0,19h17m23.35s,+44d12m30.8s,289.347291,0.000017,44.208553,0.000017,2,239.03,1.67,-1.67,0,3,10.5,,0,Kepler-band,10.454,,0,6239,94,-94,0,5,,,,,2,1.36,0.02,-0.02,0,6,1,14/05/2014,Kepler
Kepler-127,b,Kepler-127 b,Transit,0,3,14.435889,0.000063,-0.000063,0,5,0.125,,,0,1,,,,,1,,,,,0,,,,,0,,0.125,0.004,-0.004,0,4,,,,,0,0,1,0,19h00m45.60s,+46d01m40.7s,285.189985,0.000025,46.027962,0.000017,2,356.41,2.71,-2.71,0,3,11.485,,0,Kepler-band,11.438,,0,6106,106,-106,0,6,,,,,2,1.36,0.04,-0.04,0,7,1,14/05/2014,Kepler
Kepler-127,c,Kepler-127 c,Transit,0,3,29.393195,0.000073,-0.000073,0,5,0.2,,,0,1,,,,,1,,,,,0,,,,,0,,0.237,0.012,-0.012,0,4,,,,,0,1,1,0,19h00m45.60s,+46d01m40.7s,285.189985,0.000025,46.027962,0.000017,2,356.41,2.71,-2.71,0,3,11.485,,0,Kepler-band,11.438,,0,6106,106,-106,0,6,,,,,2,1.36,0.04,-0.04,0,7,1,14/05/2014,Kepler
Kepler-127,d,Kepler-127 d,Transit,0,3,48.630408,0.000128,-0.000128,0,5,0.28,,,0,1,,,,,1,,,,,0,,,,,0,,0.236,0.012,-0.012,0,4,,,,,0,0,1,0,19h00m45.60s,+46d01m40.7s,285.189985,0.000025,46.027962,0.000017,2,356.41,2.71,-2.71,0,3,11.485,,0,Kepler-band,11.438,,0,6106,106,-106,0,6,,,,,2,1.36,0.04,-0.04,0,7,1,14/05/2014,Kepler
Kepler-128,b,Kepler-128 b,Transit,0,2,15.09,,,0,6,,,,,1,,,,,0,,,,,0,0.00242,0.00151,-0.00079,0,3,Mass,0.128,0.008,-0.008,0,6,1.46,0.95,-0.51,0,1,1,1,0,18h49m58.13s,+43d58m48.8s,282.492224,0.000017,43.980213,0.000017,2,400.93,3.97,-3.97,0,3,11.39,,0,Kepler-band,11.289,,0,,,,,6,1.09,0.08,-0.05,0,6,1.61,0.1,-0.07,0,9,2,15/09/2016,Kepler
Kepler-128,c,Kepler-128 c,Transit,0,2,22.804,,,0,6,,,,,1,,,,,0,,,,,0,0.00283,0.00182,-0.00091,0,3,Mass,0.12,0.007,-0.007,0,6,2.07,1.41,-0.72,0,1,1,1,0,18h49m58.13s,+43d58m48.8s,282.492224,0.000017,43.980213,0.000017,2,400.93,3.97,-3.97,0,3,11.39,,0,Kepler-band,11.289,,0,,,,,6,1.09,0.08,-0.05,0,6,1.61,0.1,-0.07,0,9,2,15/09/2016,Kepler
Kepler-129,b,Kepler-129 b,Transit,0,2,15.79186,0.000068,-0.000068,0,5,0.131,,,0,1,,,,,1,,,,,0,,,,,0,,0.211,0.019,-0.019,0,4,,,,,0,0,1,0,19h01m14.71s,+47d50m54.9s,285.311284,0.000017,47.848595,0.000017,2,413.68,4.42,-4.42,0,3,11.696,,0,Kepler-band,11.644,,0,5770,83,-83,0,5,,,,,3,1.64,0.05,-0.05,0,6,1,14/05/2014,Kepler
Kepler-129,c,Kepler-129 c,Transit,0,2,82.20017,0.00068,-0.00068,0,5,0.393,,,0,1,,,,,1,,,,,0,,,,,0,,0.227,0.009,-0.009,0,4,,,,,0,0,1,0,19h01m14.71s,+47d50m54.9s,285.311284,0.000017,47.848595,0.000017,2,413.68,4.42,-4.42,0,3,11.696,,0,Kepler-band,11.644,,0,5770,83,-83,0,5,,,,,3,1.64,0.05,-0.05,0,6,1,14/05/2014,Kepler
Kepler-130,b,Kepler-130 b,Transit,0,3,8.457458,0.000039,-0.000039,0,5,0.079,,,0,1,,,,,1,,,,,0,,,,,0,,0.091,0.004,-0.004,0,4,,,,,0,1,1,0,19h13m48.16s,+40d14m43.1s,288.450665,0.000017,40.245305,0.000017,2,319.57,2.36,-2.36,0,3,11.529,,0,Kepler-band,11.825,,0,5884,75,-75,0,6,,,,,3,1.13,0.03,-0.03,0,7,1,14/05/2014,Kepler
HD 13908,b,HD 13908 b,Radial Velocity,0,2,19.382,0.006,-0.006,0,1,0.154,0.0025,-0.0025,0,1,0.02,0.018,-0.018,0,1,,,,,0,0.865,0.035,-0.035,0,1,Msini,,,,,0,,,,,0,0,0,0,02h18m14.56s,+65d35m39.7s,34.560665,0.000001,65.59436,0.000002,2,79.73,0.22,-0.22,0,3,7.508,0.01,0,V (Johnson),7.385,,0,6255,66,-66,0,2,1.29,0.04,-0.04,0,1,1.67,0.1,-0.1,0,2,0,14/05/2014,Haute-Provence Observatory
HD 13908,c,HD 13908 c,Radial Velocity,0,2,931,17,-17,0,1,2.03,0.04,-0.04,0,1,0.12,0.02,-0.02,0,1,,,,,0,5.13,0.25,-0.25,0,1,Msini,,,,,0,,,,,0,0,0,0,02h18m14.56s,+65d35m39.7s,34.560665,0.000001,65.59436,0.000002,2,79.73,0.22,-0.22,0,3,7.508,0.01,0,V (Johnson),7.385,,0,6255,66,-66,0,2,1.29,0.04,-0.04,0,1,1.67,0.1,-0.1,0,2,0,14/05/2014,Haute-Provence Observatory
HD 13931,b,HD 13931 b,Radial Velocity,0,1,4218,390,-390,0,3,5.15,0.33,-0.33,0,2,0.02,0.04,-0.04,0,3,,,,,0,2.2,0.21,-0.21,0,3,Msini,,,,,0,,,,,0,0,0,0,02h16m47.38s,+43d46m22.8s,34.197414,0.000002,43.772995,0.000002,2,47.46,0.14,-0.14,0,2,7.597,0.011,0,V (Johnson),7.455,,0,5867,25,-25,0,4,1.3,0.13,-0.13,0,5,1.25,0.02,-0.02,0,4,0,06/09/2018,W. M. Keck Observatory
HD 14067,b,HD 14067 b,Radial Velocity,0,1,1455,13,-12,0,2,3.4,0.1,-0.1,0,2,0.533,0.043,-0.047,0,2,,,,,0,7.8,0.7,-0.7,0,2,Msini,,,,,0,,,,,0,0,0,0,02h17m10.44s,+23d46m04.2s,34.293499,0.000002,23.767832,0.000002,2,142.6,0.84,-0.84,0,3,6.53,,0,V (Johnson),6.233,,0,4815,100,-100,0,2,2.4,0.2,-0.2,0,1,12.4,1.1,-1.1,0,2,0,25/09/2014,Okayama Astrophysical Observatory
HD 16141,b,HD 16141 b,Radial Velocity,0,1,75.523,0.055,-0.055,0,2,0.36,0.01,-0.01,0,2,0.25,0.05,-0.05,0,2,,,,,0,0.26,0.02,-0.02,0,2,Msini,,,,,0,,,,,0,0,0,0,02h35m19.93s,-03d33m38.2s,38.833035,0.000003,-3.560602,0.000002,2,37.83,0.08,-0.08,0,4,6.83,,0,V (Johnson),6.658,,0,5757,9,-9,0,9,1.11,0.06,-0.06,0,7,1.48,0.02,-0.02,0,5,0,06/09/2018,W. M. Keck Observatory
HD 16417,b,HD 16417 b,Radial Velocity,0,1,17.24,0.01,-0.01,0,1,0.14,0.01,-0.01,0,1,0.2,0.09,-0.09,0,1,,,,,0,0.0696,0.0063,-0.0063,0,1,Msini,,,,,0,,,,,0,0,0,0,02h36m58.61s,-34d34m40.7s,39.244198,0.000001,-34.577976,0.000001,3,25.41,0.04,-0.04,0,4,5.78,,0,V (Johnson),5.594,,0,,,,,4,1.2,,,0,4,,,,,3,1,31/01/2019,Anglo-Australian Telescope
HD 16175,b,HD 16175 b,Radial Velocity,0,1,990,20,-20,0,3,2.12,0.07,-0.07,0,3,0.6,0.11,-0.11,0,3,,,,,0,5.1,0.81,-0.81,0,3,Msini,,,,,0,,,,,0,0,0,0,02h37m01.91s,+42d03m45.5s,39.257961,0.000002,42.062634,0.000002,2,59.96,0.25,-0.25,0,2,7.282,0.01,0,V (Johnson),7.129,,0,5981,17,-17,0,7,1.63,0.14,-0.14,0,6,1.72,0.03,-0.03,0,5,0,06/09/2018,Lick Observatory
HD 17092,b,HD 17092 b,Radial Velocity,0,1,359.89999,2.4,-2.4,0,2,1.31,0.06,-0.06,0,2,0.17,0.05,-0.05,0,2,,,,,0,10.13,2.29,-2.29,0,3,Msini,,,,,0,,,,,0,0,0,0,02h46m22.11s,+49d39m11.1s,41.592117,0.000017,49.653076,0.000017,2,229.89,2.73,-2.73,0,2,7.732,0.011,0,V (Johnson),7.34,,0,4326,148,-148,0,5,6.73,2.24,-2.24,0,5,13.58,1.27,-1.27,0,4,0,06/09/2018,McDonald Observatory
HD 17156,b,HD 17156 b,Radial Velocity,0,1,21.21663,0.00045,-0.00045,0,7,,,,,5,0.68,0,0,0,6,87.82,0.17,-0.17,0,5,3.51,0.21,-0.21,0,7,Mass,1.1,0.03,-0.03,0,5,,,,,3,0,0,0,02h49m44.49s,+71d45m11.6s,42.435364,0.000002,71.753235,0.000002,2,78.26,0.24,-0.24,0,3,8.172,0.031,0,V (Johnson),8.033,,0,6040,24,-24,0,8,1.41,0.12,-0.12,0,8,1.55,0.04,-0.04,0,9,0,26/04/2018,Subaru Telescope
HD 18742,b,HD 18742 b,Radial Velocity,0,1,766,25,-25,0,3,1.82,0.14,-0.14,0,3,0.04,0.035,-0.035,0,3,,,,,0,3.4,1.2,-1.2,0,3,Msini,,,,,0,,,,,0,0,0,0,03h00m10.66s,-20d48m09.4s,45.044407,0.000002,-20.802603,0.000002,2,163.37,3.08,-3.08,0,2,7.81,,0,V (Johnson),7.555,,0,4940,,,0,6,1.36,,,0,5,5.13,,,0,5,0,06/12/2018,W. M. Keck Observatory
HD 19994,b,HD 19994 b,Radial Velocity,0,1,466.2,1.7,-1.7,0,2,1.305,0.016,-0.016,0,2,0.063,0.062,-0.062,0,2,,,,,0,1.37,0.12,-0.12,0,2,Msini,,,,,0,,,,,0,0,0,0,03h12m46.44s,-01d11m46.0s,48.193485,0.000002,-1.196101,0.000001,3,22.54,0.1,-0.1,0,4,5.06,,0,V (Johnson),4.885,,0,6188,44,-44,0,11,1.36,0.04,-0.04,0,8,,,,,4,0,14/05/2014,La Silla Observatory
HD 20794,b,HD 20794 b,Radial Velocity,0,4,18.315,0.008,-0.008,0,2,0.1207,0.002,-0.002,0,2,0,,,0,2,90,,,0,1,0.0085,0.0009,-0.0009,0,2,Msin(i)/sin(i),,,,,0,,,,,0,0,0,0,03h19m55.65s,-43d04m11.2s,49.981876,0.000001,-43.069782,0.000001,4,6,0.01,-0.01,0,4,4.27,,0,V (Johnson),3.981,,0,5401,17,-17,0,7,0.7,,,0,6,,,,,3,0,27/08/2015,La Silla Observatory
HD 20794,c,HD 20794 c,Radial Velocity,0,4,40.114,0.053,-0.053,0,2,0.2036,0.0034,-0.0034,0,2,0,,,0,2,90,,,0,1,0.0076,0.0013,-0.0013,0,2,Msin(i)/sin(i),,,,,0,,,,,0,0,0,0,03h19m55.65s,-43d04m11.2s,49.981876,0.000001,-43.069782,0.000001,4,6,0.01,-0.01,0,4,4.27,,0,V (Johnson),3.981,,0,5401,17,-17,0,7,0.7,,,0,6,,,,,3,0,27/08/2015,La Silla Observatory
HD 20794,d,HD 20794 d,Radial Velocity,0,4,90.309,0.184,-0.184,0,2,0.3499,0.0059,-0.0059,0,2,0,,,0,2,90,,,0,1,0.015,0.002,-0.002,0,2,Msin(i)/sin(i),,,,,0,,,,,0,0,0,0,03h19m55.65s,-43d04m11.2s,49.981876,0.000001,-43.069782,0.000001,4,6,0.01,-0.01,0,4,4.27,,0,V (Johnson),3.981,,0,5401,17,-17,0,7,0.7,,,0,6,,,,,3,0,27/08/2015,La Silla Observatory
HD 20782,b,HD 20782 b,Radial Velocity,0,1,597.0643,0.0256,-0.0256,0,5,1.3649,0.0466,-0.0495,0,5,0.95,0.001,-0.001,0,5,,,,,0,1.4878,0.1045,-0.1066,0,5,Msini,,,,,0,,,,,0,0,0,0,03h20m03.58s,-28d51m14.7s,50.014908,0.000001,-28.854071,0.000002,2,36.02,0.04,-0.04,0,3,7.4,,0,V (Johnson),7.193,,0,5790,15,-15,0,6,1.07,0.07,-0.07,0,6,1.11,0.01,-0.01,0,5,0,07/02/2019,Anglo-Australian Telescope
HD 20868,b,HD 20868 b,Radial Velocity,0,1,380.85001,0.09,-0.09,0,2,0.95,0.02,-0.02,0,2,0.75,0,0,0,2,,,,,0,1.25,0.59,-0.59,0,2,Msini,,,,,0,,,,,0,0,0,0,03h20m42.69s,-33d43m48.4s,50.177895,0.000002,-33.730103,0.000003,2,47.79,0.07,-0.07,0,3,9.92,,0,V (Johnson),9.613,,0,4802,146,-146,0,4,0.39,0.27,-0.27,0,2,0.76,0.05,-0.05,0,3,0,06/09/2018,La Silla Observatory
