pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
HD 221416,b,HD 221416 b,Transit,0,1,14.2767,0.0037,-0.0037,0,1,0.1228,0.0025,-0.0026,0,1,0.115,0.034,-0.03,0,1,85.75,0.36,-0.35,0,1,0.19,0.018,-0.018,0,1,Mass,0.836,0.031,-0.028,0,1,0.431,0.064,-0.06,0,1,0,0,0,23h32m08.07s,-21d48m05.1s,353.03363,0.000004,-21.801424,0.000003,2,95.08,0.72,-0.72,0,3,8.146,0.014,0,V (Johnson),7.908,,0,5080,90,-90,0,2,1.21,0.07,-0.07,0,1,2.94,0.06,-0.06,0,2,0,18/04/2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-150,b,TOI-150.01,Transit,0,1,5.857487,0.000089,-0.000097,0,2,0.07037,0.00087,-0.00088,0,2,0.262,0.045,-0.037,0,2,88.09,0.98,-0.68,0,2,2.51,0.12,-0.12,0,2,Mass,1.255,0.021,-0.019,0,2,1.68,0.12,-0.12,0,2,0,0,0,07h31m51.76s,-73d36m22.15s,112.965667,,-73.606153,,1,336,2,-2,0,2,,,,,11.341,,0,6255,90,-90,0,3,1.35,0.04,-0.03,0,2,1.53,0.01,-0.01,0,3,0,07/11/2019,Transiting Exoplanet Survey Satellite (TESS)
HD 81817,b,HD 81817 b,Radial Velocity,0,1,1047.1,8.5,-8.5,0,1,3.3,0.1,-0.1,0,1,0.17,0.07,-0.07,0,1,,,,0,0,27.1,2.1,-2.1,0,1,Msini,,,,0,0,,,,0,0,0,0,0,09h37m05.29s,+81d19m35.0s,144.272034,0.000001,81.326385,0.000001,2,268.97,20.85,-20.85,0,3,4.3,,0,V (Johnson),3.705,,0,4140,55,-55,0,2,4.3,0.5,-0.5,0,1,83.8,7.8,-7.8,0,2,0,04/06/2020,Bohyunsan Optical Astronomical Observatory
HATS-54,b,HATS-54 b,Transit,0,1,2.5441828,0.0000043,-0.0000043,0,1,0.03763,0.00024,-0.00024,0,1,0.126,,,1,1,83.08,0.36,-0.36,0,1,0.76,0.1,-0.1,0,1,Mass,1.067,0.052,-0.052,0,1,0.77,0.16,-0.16,0,1,0,0,0,13h22m32.3724s,-44d41m19.6988s,200.634885,,-44.688805,,1,769,21,-21,0,2,13.913,0.04,0,V (Johnson),13.776,,0,5702,26,-26,0,2,1.1,0.02,-0.02,0,1,1.32,0.04,-0.04,0,2,0,15/08/2019,HATSouth
HATS-55,b,HATS-55 b,Transit,0,1,4.2042001,0.0000033,-0.0000033,0,1,0.05412,0.00014,-0.00018,0,1,0.092,,,1,1,86.32,0.084,-0.084,0,1,0.921,0.076,-0.076,0,1,Mass,1.251,0.026,-0.026,0,1,0.587,0.062,-0.062,0,1,0,0,0,07h37m08.0194s,-32d45m19.5158s,114.283414,,-32.755421,,1,623.6,6.2,-6.2,0,2,13.47,0.04,0,V (Johnson),13.35,,0,6214,36,-36,0,2,1.2,0.01,-0.01,0,1,1.13,0.01,-0.01,0,2,0,15/08/2019,HATSouth
HATS-56,b,HATS-56 b,Transit,0,1,4.324799,0.000027,-0.000027,0,1,0.06043,0.00022,-0.00022,0,1,0.019,,,1,1,83.29,0.21,-0.21,0,1,0.602,0.035,-0.035,0,1,Mass,1.688,0.039,-0.055,0,1,0.155,0.017,-0.013,0,1,0,0,0,12h00m39.6300s,-45d47m57.9955s,180.165125,,-45.799443,,1,577.1,9.6,-9.6,0,2,11.578,0.023,0,V (Johnson),11.488,,0,6536,31,-31,0,2,1.57,0.02,-0.02,0,1,2.2,0.04,-0.04,0,2,0,15/08/2019,HATSouth
HATS-57,b,HATS-57 b,Transit,0,1,2.350621,0.0000013,-0.0000013,0,1,0.03493,0.00021,-0.0003,0,1,0.028,,,1,1,87.88,0.4,-0.4,0,1,3.147,0.073,-0.073,0,1,Mass,1.139,0.028,-0.028,0,1,2.65,0.21,-0.21,0,1,0,0,0,04h03m47.6005s,-19d03m24.3267s,60.948335,,-19.056757,,1,280,2.9,-2.9,0,2,12.344,0.047,0,V (Johnson),12.182,,0,5587,19,-19,0,2,1.03,0.02,-0.03,0,1,0.96,0.01,-0.01,0,2,0,15/08/2019,HATSouth
HATS-58 A,b,HATS-58 A b,Transit,0,1,4.2180896,0.0000089,-0.0000089,0,1,0.05798,0.00057,-0.00057,0,1,0.168,,,1,1,85.69,0.33,-0.33,0,1,1.03,0.23,-0.23,0,1,Mass,1.095,0.062,-0.062,0,1,0.96,0.27,-0.27,0,1,0,0,0,12h27m08.9729s,-48d58m42.2278s,186.787387,,-48.978397,,1,492,21,-21,0,2,11.552,0.019,0,V (Johnson),11.768,,0,7175,54,-54,0,2,1.46,0.04,-0.04,0,1,1.43,0.06,-0.06,0,2,0,15/08/2019,HATSouth
OGLE-2016-BLG-1227L,b,OGLE-2016-BLG-1227L b,Microlensing,0,1,,,,,0,3.4,2.1,-1,0,1,,,,,0,,,,,0,0.79,1.3,-0.39,0,1,Mass,,,,,0,,,,,0,0,0,0,17h42m23.31s,-33d45m35.2s,265.597125,,-33.759778,,1,,,,,0,,,,,,,,,,,,0,0.1,0.17,-0.05,0,1,,,,,0,0,19/03/2020,OGLE
Kepler-65,e,Kepler-65 e,Radial Velocity,0,4,258.8,1.5,-1.3,0,1,,,,,0,0.283,0.064,-0.071,0,1,127,27,-25,0,1,0.82,0.63,-0.16,0,2,Mass,,,,,0,,,,,0,0,1,0,19h14m45.29s,+41d09m04.2s,288.6887,0.000017,41.151173,0.000017,2,306.39,2.71,-2.71,0,3,11.018,,0,Kepler-band,10.966,,0,6211,66,-66,0,6,1.25,0.06,-0.06,0,5,1.41,0.03,-0.03,0,9,0,13/06/2019,W. M. Keck Observatory
