plntname,ra_str,dec_str,mlmassplnj,mlmassplnjerr1,mlmassplnjerr2,mlmassplnjlim,mlmassplne,mlmassplneerr1,mlmassplneerr2,mlmassplnelim,mlsmaproj,mlsmaprojerr1,mlsmaprojerr2,mlsmaprojlim,mlmasslens,mlmasslenserr1,mlmasslenserr2,mlmasslenslim,mldistl,mldistlerr1,mldistlerr2,mldistllim,mldists,mldistserr1,mldistserr2,mldistslim,mltsepmin,mltsepminerr1,mltsepminerr2,mltsepminlim,mlsepminnorm,mlsepminnormerr1,mlsepminnormerr2,mlsepminnormlim,mlxtimeein,mlxtimeeinerr1,mlxtimeeinerr2,mlxtimeeinlim,mlradsnorm,mlradsnormerr1,mlradsnormerr2,mlradsnormlim,mlsepinsnorp,mlsepinsnorperr1,mlsepinsnorperr2,mlsepinsnorplim,mlmassratio,mlmassratioerr1,mlmassratioerr2,mlmassratiolim,mlangstlax,mlangstlaxerr1,mlangstlaxerr2,mlangstlaxlim,mlmagis,mlmagiserr1,mlmagiserr2,mlmagislim,mlmagibl,mlmagiblerr1,mlmagiblerr2,mlmagibllim,mlradeinang,mlradeinangerr1,mlradeinangerr2,mlradeinanglim,mlpmrells,mlpmrellserr1,mlpmrellserr2,mlpmrellslim,mlmodeldef,plntreflink
OGLE-2012-BLG-0026L b,17h34m18.70s,-27d08m33.9s,0.145,0.0082,-0.0082,0,46.1,2.6,-2.6,0,4,0.5,-0.5,0,1.06,0.05,-0.05,0,4019,380,-380,0,7390,1280,-1280,0,,,,,,,,,94.12,0.92,-0.92,0,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.04,-0.04,0,,,,,1,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...824...83B/abstract target=ref>Beaulieu et al. 2016</a>
OGLE-2003-BLG-235L b,18h05m16.35s,-28d53m42.0s,2.6,0.8,-0.6,0,830,300,-200,0,4.3,2.5,-0.8,0,0.63,0.07,-0.09,0,5800,600,-700,0,8800,,,0,,,,,,,,,,,,,,,,,,,,,39,11,-7,0,,,,,19.63,0.06,-0.06,0,,,,,0.55,0.07,-0.07,0,3.3,0.4,-0.4,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2006ApJ...647L.171B/abstract target=ref>Bennett et al. 2006</a>
MOA-2011-BLG-262L b,18h00m23.48s,-31d14m42.93s,0.053,0.088,-0.03,0,17,28,-10,0,0.95,0.53,-0.19,0,0.11,0.21,-0.06,0,7200,800,-800,0,,,,,2455739.131,0.0003,-0.0003,0,0.0147,0.00058,-0.00058,0,3.858,0.013,-0.013,0,,,,,0.9263,0.0032,-0.0032,0,4.39,0.25,-0.25,0,1.8109,0.006,-0.006,0,19.937,0.041,-0.041,0,,,,,0.122,0.009,-0.009,0,11.6,0.9,-0.9,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..155B/abstract target=ref>Bennett et al. 2014</a>
OGLE-2005-BLG-169L b,18h06m05.32s,-30d43m57.5s,0.0444,0.003,-0.003,0,14.1,0.9,-0.9,0,3.5,0.3,-0.3,0,0.69,0.02,-0.02,0,4100,400,-400,0,,,,,2453491.878,0.0001,-0.0001,0,0.00125,0.000004,-0.000004,0,42.5,1.4,-1.4,0,,,,,1.001,0.018,-0.018,0,0.615,0.3,-0.3,0,1.6,0.03,-0.03,0,20.58,0.04,-0.04,0,,,,,0.848,0.027,-0.027,0,7.29,0.15,-0.15,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...808..169B/abstract target=ref>Bennett et al. 2015</a>
MOA-2010-BLG-117L b,18h07m49.67s,-25d20m40.7s,0.54,0.1,-0.1,0,170,32,-32,0,2.42,0.26,-0.26,0,0.58,0.11,-0.11,0,3500,400,-400,0,6900,700,-700,0,2455419.8,0.3,-0.3,0,0.279,0.015,-0.015,0,120.6,5.2,-5.2,0,,,,,0.8601,0.006,-0.006,0,9.5,0.33,-0.33,0,1.963,0.011,-0.011,0,17.95,0.07,-0.07,0,,,,,0.805,0.1,-0.1,0,2.46,0.31,-0.31,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..141B/abstract target=ref>Bennett et al. 2018</a>
OGLE-2017-BLG-1140L b,17h47m31.93s,-24d31m21.6s,1.59,0.35,-0.26,0,505,110,-83,0,1.02,0.15,-0.15,0,0.211,0.032,-0.025,0,,,,,8100,,,0,2457940.77,0.0059,-0.0058,0,-0.2392,0.0038,-0.0032,0,14.69,0.13,-0.11,0,27,2.4,-2.7,0,0.871,0.012,-0.013,0,72,7,-6,0,-2.5388,0.0067,-0.0069,0,,,,,,,,,0.163,0.024,-0.019,0,4.04,0.6,-0.48,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2018arXiv180304437C/abstract target=ref>Calchi Novati et al. 2018</a>
MOA-2009-BLG-387L b,17h53m50.79s,-33d59m25.0s,2.6,4.1,-1.6,0,830,1300,-510,0,1.8,0.9,-0.7,0,0.19,0.3,-0.12,0,5690,2180,-2190,0,,,,,2455042.366,0.015,-0.015,0,0.089,0.001,-0.001,0,40.1,0.5,-0.5,0,1.95,0.03,-0.03,0,0.9134,0.0002,-0.0002,0,135,2,-2,0,4.3095,0.0025,-0.0025,0,,,,,,,,,0.31,0.03,-0.03,0,,,,,1,<a href=https://ui.adsabs.harvard.edu/abs/2011A&A...529A.102B/abstract target=ref>Batista et al. 2011</a>
MOA-2009-BLG-387L b,17h53m50.79s,-33d59m25.0s,2.6,4.1,-1.6,0,830,1300,-510,0,1.8,0.9,-0.7,0,0.19,0.3,-0.12,0,5690,2180,-2190,0,,,,,2455042.36,0.02,-0.02,0,0.0881,0.001,-0.001,0,40,0.5,-0.5,0,2.02,0.03,-0.03,0,0.9136,0.0003,-0.0003,0,132,2,-2,0,4.3099,0.0025,-0.0025,0,,,,,,,,,0.31,0.03,-0.03,0,,,,,0,<a href=https://ui.adsabs.harvard.edu/abs/2011A&A...529A.102B/abstract target=ref>Batista et al. 2011</a>
MOA-2007-BLG-192L b,18h08m03.80s,-27d09m00.27s,0.01,0.015,-0.005,0,3.3,4.9,-1.6,0,0.62,0.22,-0.16,0,0.06,0.028,-0.021,0,1000,400,-400,0,,,,,2454245.453,,,0,-0.0036,,,0,74.5,,,0,,,,,1.12,,,0,1.2,,,0,2.021,,,0,21.48,,,0,,,,,,,,,,,,,1,<a href=https://ui.adsabs.harvard.edu/abs/2008ApJ...684..663B/abstract target=ref>Bennett et al. 2008</a>
OGLE-2016-BLG-0613L AB b,17h57m02.50s,-28d06m58.2s,3.01,2.32,-1.71,0,957,737,-543,0,3.28,1.2,-1.39,0,0.65,0.5,-0.37,0,3560,1300,-1510,0,,,,,2457490.489,0.12,-0.12,0,0.047,0.001,-0.001,0,44.94,1.33,-1.33,0,0.36,0.03,-0.03,0,0.872,0.002,-0.002,0,44.3,1.3,-1.3,0,4.774,0.022,-0.022,0,22.01,0.04,-0.04,0,19.56,,,0,1.12,0.22,-0.22,0,9.06,1.75,-1.75,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>
OGLE-2016-BLG-0613L AB b,17h57m02.50s,-28d06m58.2s,4.18,3.19,-2.43,0,1330,1010,-772,0,6.4,2.51,-2.63,0,0.72,0.55,-0.42,0,3410,1340,-1420,0,,,,,2457490.135,0.063,-0.063,0,0.048,0.001,-0.001,0,51.45,0.41,-0.41,0,0.3,0.03,-0.03,0,1.064,0.001,-0.001,0,55.4,1.3,-1.3,0,4.672,0.011,-0.011,0,22.25,0.02,-0.02,0,19.55,,,0,1.2,0.24,-0.24,0,8.5,1.71,-1.71,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>
OGLE-2016-BLG-0613L AB b,17h57m02.50s,-28d06m58.2s,2.75,2.17,-1.49,0,874,690,-474,0,3.15,1.32,-1.18,0,0.81,0.64,-0.44,0,3210,1350,-1200,0,,,,,2457494.177,0.017,-0.017,0,0.022,0.001,-0.001,0,71.9,0.57,-0.57,0,0.23,0.02,-0.02,0,0.872,0.005,-0.005,0,32.4,1.8,-1.8,0,5.35,0.004,-0.004,0,22.9,0.02,-0.02,0,19.51,,,0,1.15,0.22,-0.22,0,5.86,1.14,-1.14,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>
OGLE-2016-BLG-0613L AB b,17h57m02.50s,-28d06m58.2s,2.74,2.23,-1.51,0,871,709,-480,0,4.19,1.84,-1.67,0,0.8,0.65,-0.43,0,3190,1400,-1270,0,,,,,2457494.153,0.048,-0.048,0,0.021,0.001,-0.001,0,74.62,1.69,-1.69,0,0.22,0.02,-0.02,0,1.168,0.008,-0.008,0,32.7,2.4,-2.4,0,5.332,0.016,-0.016,0,23,0.05,-0.05,0,19.5,,,0,1.15,0.22,-0.22,0,5.64,1.11,-1.11,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>
OGLE-2016-BLG-0613L AB b,17h57m02.50s,-28d06m58.2s,1.17,1.33,-0.76,0,372,423,-240,0,3.04,0.15,-0.13,0,0.63,0.72,-0.41,0,2930,1590,-1440,0,,,,,2457489.92,0.039,-0.039,0,0.038,0.001,-0.001,0,52.01,0.1,-0.1,0,0.25,0.02,-0.02,0,0.677,0.004,-0.004,0,17.7,0.5,-0.5,0,1.852,0.011,-0.011,0,21.96,0.01,-0.01,0,19.57,,,0,1.63,0.32,-0.32,0,11.5,2.2,-2.2,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>
OGLE-2016-BLG-0613L AB b,17h57m02.50s,-28d06m58.2s,4.42,3.88,-2.54,0,1400,1230,-807,0,3.9,1.46,-1.66,0,0.66,0.58,-0.38,0,3840,1440,-1630,0,,,,,2457490.095,0.075,-0.075,0,0.038,0.002,-0.002,0,53.53,0.43,-0.43,0,0.32,0.03,-0.03,0,0.833,0.012,-0.012,0,63.9,4.9,-4.9,0,4.519,0.011,-0.011,0,21.96,0.02,-0.02,0,19.57,,,0,1.28,0.25,-0.25,0,8.7,1.72,-1.72,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>
MOA-2009-BLG-266L b,17h48m05.95s,-35d00m19.5s,0.0327,0.0053,-0.0053,0,10.4,1.7,-1.7,0,3.2,1.9,-0.5,0,0.56,0.09,-0.09,0,3040,330,-330,0,8800,,,0,2455093.257,0.083,-0.083,0,0.1315,0.0008,-0.0008,0,61.47,0.4,-0.4,0,3.0543,0.0159,-0.0159,0,0.91434,0.00036,-0.00036,0,0.563,0.025,-0.025,0,2.2692,0.0034,-0.0034,0,15.856,0.03,-0.03,0,,,,,0.98,0.04,-0.04,0,5.86,0.26,-0.26,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...741...22M/abstract target=ref>Muraki et al. 2011</a>
MOA-2009-BLG-266L b,17h48m05.95s,-35d00m19.5s,0.0327,0.0053,-0.0053,0,10.4,1.7,-1.7,0,3.2,1.9,-0.5,0,0.56,0.09,-0.09,0,3040,330,-330,0,8800,,,0,2455093.285,0.051,-0.051,0,0.1314,0.0008,-0.0008,0,61.54,0.36,-0.36,0,3.0543,0.0159,-0.0159,0,0.91421,0.00036,-0.00036,0,0.545,0.007,-0.007,0,2.2708,0.0035,-0.0035,0,15.856,0.03,-0.03,0,,,,,0.98,0.04,-0.04,0,5.86,0.26,-0.26,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...741...22M/abstract target=ref>Muraki et al. 2011</a>
MOA-2012-BLG-505L b,17h52m34.34s,-32d02m24.33s,0.0211,0.0334,-0.011,0,6.7,10.61,-3.51,0,0.9,0.25,-0.21,0,0.1,0.16,-0.05,0,7210,1140,-1110,0,,,,,2456136.056,0.0005,-0.0005,0,0.0074775,0.000881,-0.000881,0,10.0133,1.0035,-1.0035,0,2.7971,0.3714,-0.3714,0,0.8928,0.0477,-0.0477,0,2.052,0.5647,-0.5647,0,2.3794,0.0175,-0.0175,0,21.29,0.13,-0.13,0,,,,,0.122,0.025,-0.025,0,4.389,0.7198,-0.7198,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...35N/abstract target=ref>Nagakane et al. 2017</a>
MOA-2012-BLG-505L b,17h52m34.34s,-32d02m24.33s,0.0211,0.0334,-0.011,0,6.7,10.61,-3.51,0,0.9,0.25,-0.21,0,0.1,0.16,-0.05,0,7210,1140,-1110,0,,,,,2456136.056,0.0005,-0.0005,0,0.0076002,0.0008568,-0.0008568,0,9.8335,1.0506,-1.0506,0,2.8322,0.3703,-0.3703,0,1.1266,0.0653,-0.0653,0,2.0521,0.5528,-0.5528,0,2.3782,0.016,-0.016,0,21.29,0.13,-0.13,0,,,,,0.121,0.024,-0.024,0,4.3971,0.7196,-0.7196,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...35N/abstract target=ref>Nagakane et al. 2017</a>
OGLE-2012-BLG-0358L b,17h42m46.77s,-24d15m39.6s,1.82,0.16,-0.16,0,578,51,-51,0,0.86,0.02,-0.02,0,0.022,0.002,-0.002,0,1730,120,-120,0,7600,,,0,2456057.49,0.1,-0.1,0,-0.832,0.002,-0.002,0,25.64,0.08,-0.08,0,2.38,0.01,0.01,0,1.7,0.002,-0.002,0,1228.1,11.8,-11.8,0,-5.427,0.002,-0.002,0,,,,,,,,,0.29,0.03,-0.03,0,4.02,0.37,-0.37,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...778...38H/abstract target=ref>Han et al. 2013</a>
OGLE-2012-BLG-0358L b,17h42m46.77s,-24d15m39.6s,1.89,0.19,-0.19,0,601,60,-60,0,0.89,0.03,-0.03,0,0.023,0.002,-0.002,0,1790,120,-120,0,7600,,,0,2456040.33,0.01,-0.01,0,0.098,0.001,-0.001,0,26.47,0.11,-0.11,0,2.36,0.01,0.01,0,1.696,0.003,-0.003,0,1253.1,15.4,-15.4,0,-0.721,0.001,-0.001,0,,,,,,,,,0.29,0.03,-0.03,0,4.02,0.37,-0.37,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...778...38H/abstract target=ref>Han et al. 2013</a>
OGLE-2012-BLG-0724L b,17h55m52.39s,-29d49m6.7s,0.47,0.54,-0.26,0,150,170,-83,0,1.6,0.4,-0.3,0,0.29,0.33,-0.16,0,6700,1100,-1200,0,,,,,2456071.038,0.001,-0.001,0,0.008268,0.000611,-0.000611,0,13.4935,0.8639,-0.8639,0,1.3922,0.1338,-0.1338,0,1.099,0.0063,-0.0063,0,15.935,1.617,-1.617,0,1.5696,0.0123,-0.0123,0,21.89,0.07,-0.07,0,,,,,0.242,0.029,-0.029,0,6.55,0.9,-0.9,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...824..139H/abstract target=ref>Hirao et al. 2016</a>
OGLE-2017-BLG-0173L b,17h51m52.95s,-29d16m16.9s,0.02385,0.03161,-0.01545,0,7.581,10.045,-4.911,0,3.688,1.456,-1.54,0,0.357,0.36,-0.208,0,5015,1463,-1848,0,,,,,2457838.031,0.059,-0.059,0,0.844,0.035,-0.035,0,30.818,0.898,-0.898,0,10.969,0.469,-0.469,0,1.532,0.025,-0.025,0,0.6386,0.1001,-0.1001,0,1.334,0.004,-0.004,0,,,,,,,,,0.48,0.03,-0.03,0,5.7,0.3,-0.3,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...20H/abstract target=ref>Hwang et al. 2018</a>
OGLE-2017-BLG-0173L b,17h51m52.95s,-29d16m16.9s,0.02816,0.03343,-0.01757,0,8.95,10.626,-5.585,0,3.727,1.478,-1.553,0,0.396,0.386,-0.229,0,4800,1463,-1793,0,,,,,2457838.011,0.059,-0.059,0,0.768,0.028,-0.028,0,32.93,0.846,-0.846,0,9.15,0.331,-0.331,0,1.465,0.019,-0.019,0,0.6788,0.0729,-0.0729,0,1.324,0.003,-0.003,0,,,,,,,,,0.53,0.03,-0.03,0,5.9,0.3,-0.3,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...20H/abstract target=ref>Hwang et al. 2018</a>
MOA-2010-BLG-353L b,18h05m12.94s,-27d17m35.64s,0.23,0.42,-0.13,0,73,130,-41,0,1.85,0.63,-0.51,0,0.16,0.28,-0.09,0,7170,870,-1120,0,9000,750,-750,0,2455381.24,0.06,-0.06,0,-0.79,0.08,-0.08,0,11.3,0.7,-0.7,0,21,9,-9,0,1.45,0.06,-0.06,0,14,4,-4,0,4.17,0.02,-0.02,0,17.73,0.3,-0.3,0,,,,,0.187,0.089,-0.089,0,,,,,0,<a href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.454..946R/abstract target=ref>Rattenbury et al. 2015</a>
OGLE-2015-BLG-0954L b,18h00m44.24s,-28d39m39.2s,3.9,1.4,-1.4,0,1200,440,-440,0,1.2,0.6,0.6,0,0.33,0.12,-0.12,0,600,400,-200,0,,,,,2457165.223,0.009,-0.009,0,-0.0568,0.0017,-0.0017,0,37.53,0.87,-0.87,0,0.296,0.011,-0.011,0,0.7982,0.0033,-0.0033,0,109.8,2.8,-2.8,0,4.5462,0.0044,-0.0044,0,20.91,0.03,-0.03,0,18.47,0.02,-0.02,0,1.89,0.17,-0.17,0,18.4,1.7,-1.7,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016JKAS...49...73S/abstract target=ref>Shin et al. 2016</a>
MOA-2011-BLG-028L b,18h03m24.96s,-29d12m48.3s,0.09,0.05,-0.04,0,30,20,-10,0,4.14,0.64,-0.64,0,0.75,0.35,-0.3,0,7380,520,-620,0,8610,640,-640,0,2455673.74,0.33,-0.33,0,-0.911,0.028,-0.017,0,34.2,1.3,-1.3,0,17.6,1.9,-1.9,0,1.699,0.029,-0.029,0,1.22,0.25,-0.25,0,2.187,0.024,-0.024,0,15.3,,,0,,,,,0.337,0.053,-0.053,0,3.59,0.58,-0.58,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820....4S/abstract target=ref>Skowron et al. 2016</a>
OGLE-2017-BLG-0373L b,17h57m19.06s,-31d57m06.2s,0.189,0.27,-0.116,0,60.1,85.8,-36.9,0,2.575,0.85,-0.878,0,0.276,0.296,-0.148,0,5810,1133,-1523,0,,,,,2457840.636,0.054,-0.054,0,0.371,0.015,-0.015,0,12.849,0.349,-0.349,0,2.466,0.201,-0.201,0,1.349,0.011,-0.011,0,6.51,1.13,-1.13,0,2.465,0.011,-0.011,0,,,,,,,,,0.317,0.035,-0.035,0,8.91,0.098,-0.098,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2018arXiv180210067S/abstract target=ref>Skowron et al. 2018</a>
MOA-2008-BLG-379L b,17h58m49.44s,-30d11m48.95s,4.1,1.7,-1.9,0,1300,540,-600,0,2.7,0.9,-1,0,0.56,0.24,-0.27,0,3300,1300,-1200,0,,,,,2454687.897,0.001,-0.001,0,0.00602,0.00006,-0.00006,0,42.46,0.45,-0.45,0,,,,,0.903,0.001,-0.001,0,68.5,0.5,-0.5,0,5.154,0.002,-0.002,0,21.3,0.03,-0.03,0,17.87,,,-1,0.9,0.18,-0.18,0,7.75,1.56,-1.56,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780..123S/abstract target=ref>Suzuki et al. 2014</a>
MOA-2008-BLG-379L b,17h58m49.44s,-30d11m48.95s,4.1,1.7,-1.9,0,1300,540,-600,0,2.7,0.9,-1,0,0.56,0.24,-0.27,0,3300,1300,-1200,0,,,,,2454687.896,0.001,-0.001,0,0.00603,0.00003,-0.00003,0,42.14,0.23,-0.23,0,,,,,1.119,0.001,-0.001,0,69.9,0.1,-0.1,0,1.124,0.003,-0.003,0,21.3,0.03,-0.03,0,17.87,,,-1,0.86,0.19,-0.19,0,7.46,1.65,-1.65,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780..123S/abstract target=ref>Suzuki et al. 2014</a>
OGLE-2014-BLG-0124L b,18h02m29.21s,-28d23m46.5s,0.51,0.16,-0.16,0,160,51,-51,0,3.11,0.49,-0.49,0,0.71,0.22,-0.22,0,4100,590,-590,0,,,,,2456836.176,0.039,-0.039,0,0.1749,0.0039,-0.0039,0,152.1,2.9,-2.9,0,1.25,0.38,-0.38,0,0.9443,0.003,-0.003,0,6.94,0.46,-0.46,0,1.365,0.002,-0.002,0,18.59,0.02,-0.02,0,17.79,0.01,-0.01,0,0.84,0.26,-0.26,0,2.77,0.86,-0.86,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...799..237U/abstract target=ref>Udalski et al. 2015</a>
OGLE-2014-BLG-0124L b,18h02m29.21s,-28d23m46.5s,0.47,0.15,-0.15,0,150,48,-48,0,2.97,0.51,-0.51,0,0.65,0.22,-0.22,0,4230,590,-590,0,,,,,2456836.14,0.04,-0.04,0,-0.1778,0.0032,-0.0032,0,151.8,2.4,-2.4,0,1.37,0.42,-0.42,0,0.9429,0.0023,-0.0023,0,7.05,0.38,-0.38,0,-1.367,0.002,-0.002,0,18.59,0.02,-0.02,0,17.79,0.01,-0.01,0,0.78,0.25,-0.25,0,2.56,0.83,-0.83,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...799..237U/abstract target=ref>Udalski et al. 2015</a>
OGLE-2017-BLG-1434L b,17h53m07.29s,-30d14m44.6s,,,,,,,,,,,,,,,,,,,,,,,,,2457984.979,0.004,-0.004,0,0.044,0.001,-0.001,0,61.421,0.692,-0.692,0,0.4815,0.0068,-0.0068,0,0.978,0.0003,-0.0003,0,0.5866,0.0063,-0.0063,0,4.552,0.001,-0.001,0,,,,,,,,,,,,,,,,,0,<a href=https://ui.adsabs.harvard.edu/abs/2018AcA....68....1U/abstract target=ref>Udalski et al. 2018</a>
OGLE-2017-BLG-1434L b,17h53m07.29s,-30d14m44.6s,,,,,,,,,,,,,,,,,,,,,,,,,2457984.978,0.004,-0.004,0,-0.044,0.001,-0.001,0,62.981,0.788,-0.788,0,0.4679,0.0072,-0.0072,0,0.978,0.0003,-0.0003,0,0.5571,0.0077,-0.0077,0,-4.556,0.002,-0.002,0,,,,,,,,,,,,,,,,,0,<a href=https://ui.adsabs.harvard.edu/abs/2018AcA....68....1U/abstract target=ref>Udalski et al. 2018</a>
OGLE-2017-BLG-1434L b,17h53m07.29s,-30d14m44.6s,,,,,,,,,,,,,,,,,,,,,,,,,2457984.977,0.004,-0.004,0,-0.043,0.001,-0.001,0,64.255,1.006,-1.006,0,0.4643,0.0099,-0.0099,0,0.979,0.0003,-0.0003,0,0.5607,0.0152,-0.0152,0,-4.553,0.002,-0.002,0,,,,,,,,,,,,,,,,,0,<a href=https://ui.adsabs.harvard.edu/abs/2018AcA....68....1U/abstract target=ref>Udalski et al. 2018</a>
MOA-2010-BLG-477L b,18h06m07.44s,-31d27m16.1s,1.5,0.8,-0.3,0,480,300,-100,0,2,3,-1,0,0.67,0.33,-0.13,0,2300,600,-600,0,,,,,2455420.939,,,0,0.003404,,,0,46.92,,,0,0.5764,,,0,1.1228,0.0006,-0.0006,0,21.81,0.04,-0.04,0,2.60087,,,0,18.71,0.03,-0.03,0,,,,,1.38,0.11,-0.11,0,10.3,0.8,-0.8,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2012ApJ...754...73B/abstract target=ref>Bachelet et al. 2012</a>
MOA-2010-BLG-477L b,18h06m07.44s,-31d27m16.1s,1.5,0.8,-0.3,0,480,300,-100,0,2,3,-1,0,0.67,0.33,-0.13,0,2300,600,-600,0,,,,,2455420.938,,,0,-0.003372,,,0,46.57,,,0,0.5861,,,0,1.12385,,,0,22.075,,,0,3.68023,,,0,18.71,0.03,-0.03,0,,,,,1.38,0.11,-0.11,0,10.3,0.8,-0.8,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2012ApJ...754...73B/abstract target=ref>Bachelet et al. 2012</a>
OGLE-2012-BLG-0358L b,17h42m46.77s,-24d15m39.6s,1.85,0.19,-0.19,0,588,60,-60,0,0.87,0.03,-0.03,0,0.022,0.002,-0.002,0,1760,130,-130,0,7600,,,0,2456040.33,0.01,-0.01,0,-0.098,0.001,-0.001,0,26.46,0.11,-0.11,0,2.37,0.01,0.01,0,1.696,0.003,-0.003,0,1248.6,15.9,-15.9,0,0.722,0.001,-0.001,0,,,,,,,,,0.29,0.03,-0.03,0,4.02,0.37,-0.37,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...778...38H/abstract target=ref>Han et al. 2013</a>
OGLE-2016-BLG-0263L b,17h59m34.9s,-31d49m07.0s,4.1,6.5,-2.5,0,1300,2100,-790,0,5.4,1.1,-1.6,0,0.13,0.21,-0.08,0,6500,1300,-1900,0,,,,,2457470.432,0.036,-0.036,0,0.599,0.031,-0.031,0,15.92,0.51,-0.51,0,,,,,4.86,0.15,-0.15,0,297,9,-9,0,0.163,0.003,-0.003,0,15.89,,,0,,,,,,,,,,,,,0,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..133H/abstract target=ref>Han et al. 2017</a>
OGLE-2016-BLG-0263L b,17h59m34.9s,-31d49m07.0s,4.1,6.5,-2.5,0,1300,2100,-790,0,5.4,1.1,-1.6,0,0.13,0.21,-0.08,0,6500,1300,-1900,0,,,,,2457470.433,0.036,-0.036,0,0.581,0.027,-0.027,0,16.24,0.45,-0.45,0,,,,,4.72,0.12,-0.12,0,306,8,-8,0,0.095,0.002,-0.002,0,15.89,,,0,,,,,,,,,,,,,1,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..133H/abstract target=ref>Han et al. 2017</a>
OGLE-2013-BLG-0102L b,17h52m07.08s,-31d41m26.1s,13,2,-2,0,4100,600,-600,0,0.8,0.08,-0.08,0,0.096,0.013,-0.013,0,3040,310,-310,0,,,,,2456406.18,0.2,-0.2,0,0.811,0.011,-0.011,0,37.6,0.4,-0.4,0,11.12,0.24,-0.24,0,0.607,0.004,-0.004,0,1300,70,-70,0,6.36,0.02,-0.02,0,,,,,,,,,0.43,0.04,-0.04,0,4.19,0.37,-0.37,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...798..123J/abstract target=ref>Jung et al. 2015</a>
OGLE-2013-BLG-0102L b,17h52m07.08s,-31d41m26.1s,14,2,-2,0,4400,600,-600,0,0.79,0.09,-0.09,0,0.091,0.015,-0.015,0,3150,370,-370,0,,,,,2456406.3,0.17,-0.17,0,0.812,0.008,-0.008,0,37.1,0.4,-0.4,0,11.71,0.33,-0.33,0,0.607,0.002,-0.002,0,1430,20,-20,0,-6.39,0.01,-0.01,0,,,,,,,,,0.41,0.03,-0.03,0,4.06,0.34,-0.34,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...798..123J/abstract target=ref>Jung et al. 2015</a>
OGLE-2011-BLG-0251L b,17h38m14.18s,-27d08m10.1s,0.45,0.18,-0.18,0,140,57,-57,0,1.5,0.5,-0.5,0,0.26,0.1,-0.1,0,2710,610,-610,0,,,,,2455781.509,0.004,-0.004,0,-0.0566,0.0004,-0.0004,0,63.74,0.41,-0.41,0,14.4,0.5,-0.5,0,0.775,0.01,-0.01,0,16.8,1.1,-1.1,0,-1.855,0.002,-0.002,0,15.99,0.03,-0.03,0,16.97,0.07,-0.07,0,0.71,0.26,-0.26,0,4.09,1.5,-1.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2013A&A...552A..70K/abstract target=ref>Kains et al. 2013</a>
