1,N-Z,N,Z,A,EL,MASS EXCESS (keV),MASS EXCESS ERROR (keV),BINDING ENERGY (keV),BINDING ENERGY ERROR (keV),ATOMIC MASS (u),ATOMIC MASS ERROR(u)
,-3,34,37,71,Rb,-32060#,400#,8115#,6#,#VALUE!,#VALUE!
0,22,47,25,72,Mn,-9900#,600#,7937#,8#,#VALUE!,#VALUE!
,20,46,26,72,Fe,-28430#,500#,8184#,7#,#VALUE!,#VALUE!
,18,45,27,72,Co,-40200#,400#,8336#,6#,#VALUE!,#VALUE!
,16,44,28,72,Ni,-54226.06,2.237,8520.211,0.031,71.94178593,0.000002401
,14,43,29,72,Cu,-59782.999,1.397,8586.525,0.019,71.93582031,0.0000015
,12,42,30,72,Zn,-68145.486,2.142,8691.805,0.03,71.92684281,0.0000023
,10,41,31,72,Ga,-68588.293,0.819,8687.089,0.011,71.92636743,0.000000878
,8,40,32,72,Ge,-72585.9,0.076,8731.745,0.001,71.92207583,0.000000081
,6,39,33,72,As,-68229.798,4.083,8660.378,0.057,71.9267523,0.000004383
,4,38,34,72,Se,-67868.18,1.956,8644.489,0.027,71.92714051,0.0000021
,2,37,35,72,Br,-59061.743,1.025,8511.312,0.014,71.93659461,0.0000011
,0,36,36,72,Kr,-53940.575,8.011,8429.319,0.111,71.94209241,0.0000086
,-2,35,37,72,Rb,-38330#,500#,8202#,7#,#VALUE!,#VALUE!
0,21,47,26,73,Fe,-22900#,500#,8106#,7#,#VALUE!,#VALUE!
,19,46,27,73,Co,-37418#,400#,8295#,5#,#VALUE!,#VALUE!
,17,45,28,73,Ni,-50108.152,2.423,8457.652,0.033,72.94620668,0.000002601
,15,44,29,73,Cu,-58987.437,1.942,8568.569,0.027,72.93667438,0.000002084
,13,43,30,73,Zn,-65593.402,1.863,8648.345,0.026,72.92958258,0.000002
,11,42,31,73,Ga,-69699.335,1.677,8693.873,0.023,72.92517468,0.0000018
,9,41,32,73,Ge,-71297.523,0.057,8705.049,0.001,72.92345896,0.000000061
,7,40,33,73,As,-70952.747,3.853,8689.609,0.053,72.92382909,0.000004136
,5,39,34,73,Se,-68227.387,7.424,8641.558,0.102,72.92675488,0.000007969
,3,38,35,73,Br,-63647.475,7.266,8568.103,0.1,72.93167162,0.0000078
,1,37,36,73,Kr,-56551.751,6.578,8460.184,0.09,72.9392892,0.000007061
,-1,36,37,73,Rb,-46082#,200#,8306#,3#,#VALUE!,#VALUE!
,-3,35,38,73,Sr,-31950#,401#,8102#,5#,#VALUE!,#VALUE!
0,22,48,26,74,Fe,-19590#,600#,8061#,8#,#VALUE!,#VALUE!
,20,47,27,74,Co,-32820#,500#,8229#,7#,#VALUE!,#VALUE!
,18,46,28,74,Ni,-48456#,196#,8430#,3#,#VALUE!,#VALUE!
,16,45,29,74,Cu,-56006.205,6.148,8521.562,0.083,73.93987486,0.0000066
,14,44,30,74,Zn,-65756.712,2.515,8642.754,0.034,73.92940726,0.0000027
,12,43,31,74,Ga,-68049.617,2.994,8663.167,0.04,73.92694573,0.000003214
,10,42,32,74,Ge,-73422.442,0.013,8725.2,0,73.92117776,0.000000013
,8,41,33,74,As,-70860.054,1.693,8680.001,0.023,73.9239286,0.000001817
,6,40,34,74,Se,-72213.201,0.015,8687.715,0,73.92247594,0.000000015
,4,39,35,74,Br,-65288.153,5.835,8583.561,0.079,73.92991028,0.000006264
,2,38,36,74,Kr,-62331.836,2.013,8533.038,0.027,73.93308402,0.000002161
,0,37,37,74,Rb,-51916.009,3.027,8381.712,0.041,73.94426587,0.000003249
,-2,36,38,74,Sr,-40827#,100#,8221#,1#,#VALUE!,#VALUE!
0,23,49,26,75,Fe,-13640#,600#,7982#,8#,#VALUE!,#VALUE!
,21,48,27,75,Co,-29649#,500#,8185#,7#,#VALUE!,#VALUE!
,19,47,28,75,Ni,-44030#,300#,8366#,4#,#VALUE!,#VALUE!
,17,46,29,75,Cu,-54471.341,2.33,8495.094,0.031,74.94152261,0.000002501
,15,45,30,75,Zn,-62558.908,1.956,8592.497,0.026,74.93284025,0.0000021
,13,44,31,75,Ga,-68464.58,2.422,8660.808,0.032,74.92650025,0.0000026
,11,43,32,75,Ge,-71856.965,0.052,8695.609,0.001,74.92285837,0.000000055
,9,42,33,75,As,-73034.195,0.884,8700.874,0.012,74.92159456,0.000000948
,7,41,34,75,Se,-72169.481,0.073,8678.913,0.001,74.92252287,0.000000078
,5,40,35,75,Br,-69107.009,4.285,8627.649,0.057,74.92581057,0.0000046
,3,39,36,75,Kr,-64323.624,8.104,8553.439,0.108,74.93094575,0.0000087
,1,38,37,75,Rb,-57218.694,1.18,8448.275,0.016,74.9385732,0.000001266
,-1,37,38,75,Sr,-46618.694,220.003,8296.511,2.933,74.94995277,0.000236183
,-3,36,39,75,Y,-31820#,300#,8089#,4#,#VALUE!,#VALUE!
0,22,49,27,76,Co,-24510#,600#,8116#,8#,#VALUE!,#VALUE!
,20,48,28,76,Ni,-41630#,400#,8331#,5#,#VALUE!,#VALUE!
,18,47,29,76,Cu,-50975.985,6.707,8443.527,0.088,75.94527503,0.0000072
,16,46,30,76,Zn,-62303.016,1.456,8582.273,0.019,75.93311496,0.000001562
,14,45,31,76,Ga,-66296.64,1.956,8624.526,0.026,75.92882763,0.0000021
,12,44,32,76,Ge,-73212.889,0.018,8705.236,0,75.92140273,0.000000019
,10,43,33,76,As,-72291.377,0.886,8682.816,0.012,75.92239201,0.000000951
,8,42,34,76,Se,-75251.95,0.016,8711.477,0,75.9192137,0.000000017
,6,41,35,76,Br,-70289.068,9.322,8635.882,0.123,75.92454158,0.000010007
,4,40,36,76,Kr,-69013.714,4.013,8608.807,0.053,75.92591073,0.000004308
,2,39,37,76,Rb,-60479.081,0.938,8486.215,0.012,75.93507303,0.000001006
,0,38,38,76,Sr,-54247.639,34.465,8393.929,0.453,75.94176276,0.000037
,-2,37,39,76,Y,-38480#,300#,8176#,4#,#VALUE!,#VALUE!
0,23,50,27,77,Co,-21015#,600#,8070#,8#,#VALUE!,#VALUE!
,21,49,28,77,Ni,-36800#,500#,8265#,6#,#VALUE!,#VALUE!
,19,48,29,77,Cu,-48624#,149#,8408#,2#,#VALUE!,#VALUE!
,17,47,30,77,Zn,-58789.195,1.973,8530.003,0.026,76.9368872,0.000002117
,15,46,31,77,Ga,-65992.344,2.422,8613.39,0.031,76.9291543,0.0000026
,13,45,32,77,Ge,-71212.862,0.053,8671.028,0.001,76.92354984,0.000000056
,11,44,33,77,As,-73916.318,1.693,8695.978,0.022,76.92064756,0.000001817
,9,43,34,77,Se,-74599.488,0.062,8694.69,0.001,76.91991415,0.000000067
,7,42,35,77,Br,-73234.809,2.811,8666.806,0.037,76.92137919,0.000003017
,5,41,36,77,Kr,-70169.443,1.956,8616.836,0.025,76.92467,0.0000021
,3,40,37,77,Rb,-64830.492,1.304,8537.339,0.017,76.9304016,0.0000014
,1,39,38,77,Sr,-57803.436,7.918,8435.918,0.103,76.93794546,0.0000085
,-1,38,39,77,Y,-46439#,203#,8278#,3#,#VALUE!,#VALUE!
,-3,37,40,77,Zr,-32040#,400#,8081#,5#,#VALUE!,#VALUE!
0,22,50,28,78,Ni,-33890#,600#,8225#,8#,#VALUE!,#VALUE!
,20,49,29,78,Cu,-44497.469,503.007,8350.925,6.449,77.95223,0.00054
,18,48,30,78,Zn,-57483.235,1.944,8507.379,0.025,77.93828921,0.000002086
,16,47,31,78,Ga,-63705.95,1.903,8577.127,0.024,77.93160885,0.000002043
,14,46,32,78,Ge,-71862.05,3.536,8671.663,0.045,77.92285291,0.000003795
,12,45,33,78,As,-72816.94,9.781,8673.875,0.125,77.9218278,0.0000105
,10,44,34,78,Se,-77025.944,0.179,8717.806,0.002,77.91730924,0.000000191
,8,43,35,78,Br,-73452.16,3.58,8661.959,0.046,77.92114586,0.000003842
,6,42,36,78,Kr,-74178.275,0.307,8661.238,0.004,77.92036634,0.000000329
,4,41,37,78,Rb,-66935.419,3.237,8558.35,0.042,77.92814187,0.000003475
,2,40,38,78,Sr,-63173.941,7.452,8500.096,0.096,77.93217998,0.000008
,0,39,39,78,Y,-52173#,298#,8349#,4#,#VALUE!,#VALUE!
,-2,38,40,78,Zr,-40850#,400#,8194#,5#,#VALUE!,#VALUE!
0,23,51,28,79,Ni,-27570#,600#,8143#,8#,#VALUE!,#VALUE!
,21,50,29,79,Cu,-41740#,300#,8312#,4#,#VALUE!,#VALUE!
,19,49,30,79,Zn,-53432.295,2.225,8450.582,0.028,78.94263807,0.000002388
,17,48,31,79,Ga,-62547.679,1.868,8556.063,0.024,78.9328523,0.000002005
,15,47,32,79,Ge,-69526.592,37.181,8634.501,0.471,78.92536013,0.000039915
,13,46,33,79,As,-73636.049,5.328,8676.616,0.067,78.92094845,0.000005719
,11,45,34,79,Se,-75917.459,0.223,8695.592,0.003,78.91849925,0.000000238
,9,44,35,79,Br,-76068.035,1.021,8687.594,0.013,78.9183376,0.000001095
,7,43,36,79,Kr,-74442.257,3.486,8657.112,0.044,78.92008295,0.000003742
,5,42,37,79,Rb,-70802.985,2.142,8601.142,0.027,78.92398986,0.0000023
,3,41,38,79,Sr,-65476.889,8.383,8523.82,0.106,78.92970766,0.000009
,1,40,39,79,Y,-57817.833,79.177,8416.967,1.002,78.93793,0.000085
,-1,39,40,79,Zr,-46770#,300#,8267#,4#,#VALUE!,#VALUE!
,-3,38,41,79,Nb,-31650#,500#,8066#,6#,#VALUE!,#VALUE!
0,24,52,28,80,Ni,-22630#,700#,8080#,9#,#VALUE!,#VALUE!
,22,51,29,80,Cu,-36200#,400#,8240#,5#,#VALUE!,#VALUE!
,20,50,30,80,Zn,-51648.612,2.585,8423.545,0.032,79.94455293,0.000002774
,18,49,31,80,Ga,-59223.667,2.891,8508.454,0.036,79.93642077,0.000003103
,16,48,32,80,Ge,-69535.306,2.054,8627.57,0.026,79.92535077,0.000002205
,14,47,33,80,As,-72214.493,3.333,8651.28,0.042,79.92247455,0.000003577
,12,46,34,80,Se,-77759.457,0.963,8710.813,0.012,79.91652179,0.000001034
,10,45,35,80,Br,-75888.993,1.012,8677.653,0.013,79.91852981,0.000001086
,8,44,36,80,Kr,-77893.346,0.691,8692.928,0.009,79.91637805,0.000000742
,6,43,37,80,Rb,-72175.467,1.863,8611.675,0.023,79.92251644,0.000002
,4,42,38,80,Sr,-70311.459,3.464,8578.596,0.043,79.92451754,0.000003718
,2,41,39,80,Y,-61148.152,6.242,8454.275,0.078,79.93435476,0.000006701
,0,40,40,80,Zr,-54360#,300#,8360#,4#,#VALUE!,#VALUE!
,-2,39,41,80,Nb,-38420#,400#,8151#,5#,#VALUE!,#VALUE!
0,23,52,29,81,Cu,-31420#,500#,8179#,6#,#VALUE!,#VALUE!
,21,51,30,81,Zn,-46199.663,5.03,8351.925,0.062,80.95040262,0.0000054
,19,50,31,81,Ga,-57627.954,3.264,8483.357,0.04,80.93813384,0.000003503
,17,49,32,81,Ge,-66291.687,2.055,8580.658,0.025,80.92883294,0.000002205
,15,48,33,81,As,-72533.304,2.644,8648.056,0.033,80.92213229,0.000002838
,13,47,34,81,Se,-76388.988,0.992,8685.999,0.012,80.91799304,0.000001065
,11,46,35,81,Br,-77977.034,0.978,8695.946,0.012,80.91628821,0.000001049
,9,45,36,81,Kr,-77696.181,1.074,8682.82,0.013,80.91658971,0.000001152
,7,44,37,81,Rb,-75456.67,4.904,8645.513,0.061,80.91899393,0.000005264
,5,43,38,81,Sr,-71528.125,3.128,8587.354,0.039,80.92321139,0.000003358
,3,42,39,81,Y,-65712.912,5.405,8505.902,0.067,80.92945428,0.000005802
,1,41,40,81,Zr,-57460.139,94.081,8394.358,1.161,80.938314,0.000101
,-1,40,41,81,Nb,-46360#,400#,8248#,5#,#VALUE!,#VALUE!
,-3,39,42,81,Mo,-31750#,500#,8058#,6#,#VALUE!,#VALUE!
0,24,53,29,82,Cu,-25320#,600#,8103#,7#,#VALUE!,#VALUE!
,22,52,30,82,Zn,-42313.954,3.074,8301.117,0.037,81.9545741,0.0000033
,20,51,31,82,Ga,-52930.719,2.426,8421.049,0.03,81.94317653,0.000002604
,18,50,32,82,Ge,-65415.067,2.241,8563.756,0.027,81.92977403,0.000002405
,16,49,33,82,As,-70105.419,3.729,8611.414,0.045,81.92473873,0.000004003
,14,48,34,82,Se,-77593.882,0.467,8693.196,0.006,81.91669954,0.0000005
,12,47,35,82,Br,-77498.661,0.971,8682.494,0.012,81.91680176,0.000001042
,10,46,36,82,Kr,-80591.78515,0.00549,8710.675,0,81.91348116,5.89E-09
,8,45,37,82,Rb,-76187.803,3.009,8647.427,0.037,81.91820902,0.00000323
,6,44,38,82,Sr,-76010.053,5.992,8635.718,0.073,81.91839985,0.000006432
,4,43,39,82,Y,-68064.091,5.499,8529.275,0.067,81.92693019,0.000005902
,2,42,40,82,Zr,-63631.287,11.178,8465.676,0.136,81.931689,0.000012
,0,41,41,82,Nb,-52090#,300#,8315#,4#,#VALUE!,#VALUE!
,-2,40,42,82,Mo,-40370#,400#,8163#,5#,#VALUE!,#VALUE!
0,23,53,30,83,Zn,-36290#,300#,8226#,4#,#VALUE!,#VALUE!
,21,52,31,83,Ga,-49257.122,2.613,8372.575,0.031,82.9471203,0.000002804
,19,51,32,83,Ge,-60976.435,2.427,8504.345,0.029,82.9345391,0.000002605
,17,50,33,83,As,-69669.323,2.799,8599.653,0.034,82.9252069,0.000003004
,15,49,34,83,Se,-75340.53,3.036,8658.555,0.037,82.91911861,0.000003259
,13,48,35,83,Br,-79013.709,3.795,8693.384,0.046,82.91517529,0.000004073
,11,47,36,83,Kr,-79990.633,0.009,8695.729,0,82.91412652,0.000000009
,9,46,37,83,Rb,-79070.63,2.329,8675.218,0.028,82.91511418,0.0000025
,7,45,38,83,Sr,-76797.606,6.834,8638.407,0.082,82.91755437,0.000007336
,5,44,39,83,Y,-72205.665,18.631,8573.656,0.224,82.92248403,0.00002
,3,43,40,83,Zr,-65911.654,6.43,8488.399,0.077,82.92924093,0.000006902
,1,42,41,83,Nb,-57556.083,150.902,8378.304,1.818,82.938211,0.000162
,-1,41,42,83,Mo,-46340#,401#,8234#,5#,#VALUE!,#VALUE!
,-3,40,43,83,Tc,-31320#,500#,8043#,6#,#VALUE!,#VALUE!
0,24,54,30,84,Zn,-31930#,400#,8172#,5#,#VALUE!,#VALUE!
,22,53,31,84,Ga,-44088#,200#,8307#,2#,#VALUE!,#VALUE!
,20,52,32,84,Ge,-58148.428,3.171,8465.524,0.038,83.93757509,0.000003403
,18,51,33,84,As,-65853.56,3.171,8547.938,0.038,83.92930329,0.000003403
,16,50,34,84,Se,-75947.721,1.961,8658.793,0.023,83.91846676,0.000002105
,14,49,35,84,Br,-77783.084,25.73,8671.329,0.306,83.91649642,0.000027622
,12,48,36,84,Kr,-82439.3351,0.00379,8717.446,0,83.91149773,4.07E-09
,10,47,37,84,Rb,-79758.964,2.194,8676.224,0.026,83.91437523,0.000002355
,8,46,38,84,Sr,-80649.57,1.243,8677.512,0.015,83.91341912,0.000001334
,6,45,39,84,Y,-73894.431,4.299,8587.78,0.051,83.92067106,0.000004615
,4,44,40,84,Zr,-71421.686,5.499,8549.029,0.065,83.92332566,0.000005903
,2,43,41,84,Nb,-61218.717,13.041,8418.252,0.155,83.934279,0.000014
,0,42,42,84,Mo,-54170#,298#,8325#,4#,#VALUE!,#VALUE!
,-2,41,43,84,Tc,-37700#,400#,8120#,5#,#VALUE!,#VALUE!
0,25,55,30,85,Zn,-25230#,500#,8092#,6#,#VALUE!,#VALUE!
,23,54,31,85,Ga,-39849#,298#,8255#,4#,#VALUE!,#VALUE!
,21,53,32,85,Ge,-53123.42,3.729,8401.768,0.044,84.94296966,0.000004003
,19,52,33,85,As,-63189.144,3.078,8510.984,0.036,84.93216366,0.000003304
,17,51,34,85,Se,-72413.636,2.613,8610.304,0.031,84.92226076,0.000002804
,15,50,35,85,Br,-78575.469,3.078,8673.592,0.036,84.91564576,0.000003304
,13,49,36,85,Kr,-81480.331,2,8698.562,0.024,84.91252726,0.000002147
,11,48,37,85,Rb,-82167.3305,0.00498,8697.441,0,84.91178974,5.34E-09
,9,47,38,85,Sr,-81103.28,2.813,8675.718,0.033,84.91293204,0.00000302
,7,46,39,85,Y,-77842.123,18.965,8628.148,0.223,84.91643304,0.00002036
,5,45,40,85,Zr,-73175.189,6.43,8564.039,0.076,84.9214432,0.000006902
,3,44,41,85,Nb,-66279.676,4.099,8473.711,0.048,84.92884584,0.0000044
,1,43,42,85,Mo,-57509.753,15.835,8361.331,0.186,84.93826074,0.000017
,-1,42,43,85,Tc,-45850#,400#,8215#,5#,#VALUE!,#VALUE!
,-3,41,44,85,Ru,-30950#,500#,8030#,6#,#VALUE!,#VALUE!
0,24,55,31,86,Ga,-34080#,400#,8186#,5#,#VALUE!,#VALUE!
,22,54,32,86,Ge,-49399.922,437.802,8354.629,5.091,85.946967,0.00047
,20,53,33,86,As,-58962.142,3.45,8456.721,0.04,85.93670153,0.000003703
,18,52,34,86,Se,-70503.167,2.52,8581.822,0.029,85.92431173,0.000002705
,16,51,35,86,Br,-75632.252,3.078,8632.365,0.036,85.91880543,0.000003304
,14,50,36,86,Kr,-83265.66564,0.00369,8712.029,0,85.91061063,3.96E-09
,12,49,37,86,Rb,-82746.993,0.2,8696.901,0.002,85.91116744,0.000000214
,10,48,38,86,Sr,-84523.08935,0.00522,8708.456,0,85.90926073,5.61E-09
,8,47,39,86,Y,-79283.089,14.142,8638.428,0.164,85.9148861,0.000015182
,6,46,40,86,Zr,-77969.014,3.566,8614.051,0.041,85.91629682,0.000003827
,4,45,41,86,Nb,-69134.054,5.499,8502.222,0.064,85.92578154,0.000005903
,2,44,42,86,Mo,-64110.245,3.726,8434.709,0.043,85.93117482,0.000004
,0,43,43,86,Tc,-51570#,300#,8280#,3#,#VALUE!,#VALUE!
,-2,42,44,86,Ru,-39770#,400#,8133#,5#,#VALUE!,#VALUE!
0,25,56,31,87,Ga,-29250#,500#,8129#,6#,#VALUE!,#VALUE!
,23,55,32,87,Ge,-44078#,300#,8290#,3#,#VALUE!,#VALUE!
,21,54,33,87,As,-55617.907,2.985,8413.851,0.034,86.94029172,0.000003204
,19,53,34,87,Se,-66426.125,2.241,8529.091,0.026,86.92868862,0.000002405
,17,52,35,87,Br,-73891.676,3.171,8605.91,0.036,86.92067402,0.000003404
,15,51,36,87,Kr,-80709.522,0.246,8675.283,0.003,86.91335476,0.000000264
,13,50,37,87,Rb,-84597.791,0.006,8710.983,0,86.90918053,0.000000006
,11,49,38,87,Sr,-84880.06595,0.0051,8705.236,0,86.9088775,5.48E-09
,9,48,39,87,Y,-83018.376,1.128,8674.844,0.013,86.9108761,0.00000121
,7,47,40,87,Zr,-79347.137,4.146,8623.654,0.048,86.91481734,0.00000445
,5,46,41,87,Nb,-73874.486,6.802,8551.757,0.078,86.92069247,0.000007302
,3,45,42,87,Mo,-66884.808,2.857,8462.424,0.033,86.9281962,0.000003067
,1,44,43,87,Tc,-57690.044,4.192,8347.744,0.048,86.93806719,0.0000045
,-1,43,44,87,Ru,-45520#,400#,8199#,5#,#VALUE!,#VALUE!
0,24,56,32,88,Ge,-40138#,400#,8243#,5#,#VALUE!,#VALUE!
,22,55,33,88,As,-50720#,196#,8354#,2#,#VALUE!,#VALUE!
,20,54,34,88,Se,-63884.195,3.357,8495.004,0.038,87.93141749,0.000003604
,18,53,35,88,Br,-70715.959,3.171,8563.747,0.036,87.92408329,0.000003404
,16,52,36,88,Kr,-79691.286,2.608,8656.849,0.03,87.91444788,0.0000028
,14,51,37,88,Rb,-82608.995,0.159,8681.115,0.002,87.91131559,0.000000171
,12,50,38,88,Sr,-87921.61793,0.00558,8732.595,0,87.90561226,5.99E-09
,10,49,39,88,Y,-84299.018,1.5,8682.539,0.017,87.90950128,0.00000161
,8,48,40,88,Zr,-83628.871,5.403,8666.033,0.061,87.91022071,0.0000058
,6,47,41,88,Nb,-76173.586,58.81,8572.424,0.668,87.91822429,0.000063134
,4,46,42,88,Mo,-72686.544,3.819,8523.908,0.043,87.92196778,0.0000041
,2,45,43,88,Tc,-61681.315,149.039,8389.958,1.694,87.93378238,0.00016
,0,44,44,88,Ru,-54340#,300#,8298#,3#,#VALUE!,#VALUE!
,-2,43,45,88,Rh,-36860#,400#,8090#,5#,#VALUE!,#VALUE!
0,25,57,32,89,Ge,-33729#,400#,8169#,4#,#VALUE!,#VALUE!
,23,56,33,89,As,-46798#,298#,8307#,3#,#VALUE!,#VALUE!
,21,55,34,89,Se,-58992.391,3.729,8435.279,0.042,88.93666906,0.000004003
,19,54,35,89,Br,-68274.263,3.264,8530.779,0.037,88.92670456,0.000003504
,17,53,36,89,Kr,-76535.785,2.142,8614.815,0.024,88.91783545,0.0000023
,15,52,37,89,Rb,-81712.388,5.427,8664.189,0.061,88.91227814,0.000005825
,13,51,38,89,Sr,-86209.017,0.092,8705.922,0.001,88.90745081,0.000000098
,11,50,39,89,Y,-87708.352,1.612,8713.978,0.018,88.90584121,0.00000173
,9,49,40,89,Zr,-84875.561,3.083,8673.359,0.035,88.90888233,0.00000331
,7,48,41,89,Nb,-80625.209,23.631,8616.812,0.266,88.91344527,0.000025369
,5,47,42,89,Mo,-75014.935,3.912,8544.984,0.044,88.91946815,0.0000042
,3,46,43,89,Tc,-67394.848,3.819,8450.575,0.043,88.92764865,0.0000041
,1,45,44,89,Ru,-58260#,298#,8339#,3#,#VALUE!,#VALUE!
,-1,44,45,89,Rh,-45861#,361#,8191#,4#,#VALUE!,#VALUE!
0,26,58,32,90,Ge,-29221#,500#,8118#,6#,#VALUE!,#VALUE!
,24,57,33,90,As,-41330#,400#,8244#,4#,#VALUE!,#VALUE!
,22,56,34,90,Se,-55800.217,329.749,8395.766,3.664,89.940096,0.000354
,20,55,35,90,Br,-64000.298,3.357,8478.186,0.037,89.93129285,0.000003604
,18,54,36,90,Kr,-74959.25,1.863,8591.259,0.021,89.91952793,0.000002
,16,53,37,90,Rb,-79364.404,6.484,8631.512,0.072,89.9147988,0.00000696
,14,52,38,90,Sr,-85948.127,2.124,8695.972,0.024,89.90773089,0.00000228
,12,51,39,90,Y,-86494.062,1.611,8693.345,0.018,89.9071448,0.000001729
,10,50,40,90,Zr,-88772.535,0.118,8709.969,0.001,89.90469876,0.000000126
,8,49,41,90,Nb,-82661.519,3.317,8633.376,0.037,89.9112592,0.000003561
,6,48,42,90,Mo,-80172.503,3.463,8597.028,0.038,89.91393127,0.000003717
,4,47,43,90,Tc,-70724.687,1.025,8483.359,0.011,89.92407392,0.0000011
,2,46,44,90,Ru,-64883.792,3.73,8409.768,0.041,89.93034438,0.000004004
,0,45,45,90,Rh,-51700#,300#,8255#,3#,#VALUE!,#VALUE!
,-2,44,46,90,Pd,-39710#,400#,8113#,4#,#VALUE!,#VALUE!
0,25,58,33,91,As,-36896#,400#,8193#,4#,#VALUE!,#VALUE!
,23,57,34,91,Se,-50580.124,433.145,8334.837,4.76,90.9457,0.000465
,21,56,35,91,Br,-61107.294,3.544,8441.923,0.039,90.93439862,0.000003804
,19,55,36,91,Kr,-70973.965,2.236,8541.751,0.025,90.92380631,0.0000024
,17,54,37,91,Rb,-77745.037,7.801,8607.561,0.086,90.91653727,0.000008375
,15,53,38,91,Sr,-83651.927,5.453,8663.875,0.06,90.91019596,0.000005853
,13,52,39,91,Y,-86351.295,1.843,8684.941,0.02,90.90729807,0.000001978
,11,51,40,91,Zr,-87895.566,0.105,8693.314,0.001,90.90564022,0.000000112
,9,50,41,91,Nb,-86638.001,2.926,8670.897,0.032,90.90699027,0.000003141
,7,49,42,91,Mo,-82208.821,6.238,8613.628,0.069,90.9117452,0.000006696
,5,48,43,91,Tc,-75986.646,2.363,8536.655,0.026,90.91842498,0.000002536
,3,47,44,91,Ru,-68239.823,2.221,8442.928,0.024,90.92674153,0.000002384
,1,46,45,91,Rh,-58570#,298#,8328#,3#,#VALUE!,#VALUE!
,-1,45,46,91,Pd,-45930#,401#,8181#,4#,#VALUE!,#VALUE!
0,26,59,33,92,As,-30981#,500#,8127#,5#,#VALUE!,#VALUE!
,24,58,34,92,Se,-46724#,400#,8290#,4#,#VALUE!,#VALUE!
,22,57,35,92,Br,-56232.805,6.709,8384.911,0.073,91.9396316,0.000007202
,20,56,36,92,Kr,-68769.32,2.701,8512.674,0.029,91.92617309,0.0000029
,18,55,37,92,Rb,-74772.438,6.123,8569.422,0.067,91.91972848,0.000006573
,16,54,38,92,Sr,-82867.361,3.423,8648.906,0.037,91.91103822,0.000003675
,14,53,39,92,Y,-84816.492,9.127,8661.589,0.099,91.90894575,0.000009798
,12,52,40,92,Zr,-88459.028,0.102,8692.678,0.001,91.90503532,0.000000109
,10,51,41,92,Nb,-86453.292,1.785,8662.372,0.019,91.90718857,0.000001915
,8,50,42,92,Mo,-86808.576,0.157,8657.73,0.002,91.90680716,0.000000168
,6,49,43,92,Tc,-78925.693,3.102,8563.543,0.034,91.91526978,0.00000333
,4,48,44,92,Ru,-74301.201,2.718,8504.773,0.03,91.92023438,0.000002917
,2,47,45,92,Rh,-62999.087,4.378,8373.42,0.048,91.93236769,0.0000047
,0,46,46,92,Pd,-54580#,300#,8273#,3#,#VALUE!,#VALUE!
,-2,45,47,92,Ag,-37130#,500#,8075#,5#,#VALUE!,#VALUE!
0,25,59,34,93,Se,-40716#,400#,8223#,4#,#VALUE!,#VALUE!
,23,58,35,93,Br,-52890.23,430.816,8345.598,4.632,92.94322,0.0004625
,21,57,36,93,Kr,-64135.994,2.515,8458.108,0.027,92.93114717,0.0000027
,19,56,37,93,Rb,-72619.901,7.83,8540.92,0.084,92.92203933,0.000008406
,17,55,38,93,Sr,-80085.838,7.554,8612.787,0.081,92.91402431,0.000008109
,15,54,39,93,Y,-84227.157,10.488,8648.905,0.113,92.90957842,0.000011259
,13,53,40,93,Zr,-87122.032,0.457,8671.62,0.005,92.90647065,0.00000049
,11,52,41,93,Nb,-87212.838,1.491,8664.184,0.016,92.90637316,0.0000016
,9,51,42,93,Mo,-86807.069,0.181,8651.409,0.002,92.90680877,0.000000193
,7,50,43,93,Tc,-83606.106,1.012,8608.577,0.011,92.91024515,0.000001086
,5,49,44,93,Ru,-77216.713,2.065,8531.462,0.022,92.91710444,0.000002216
,3,48,45,93,Rh,-69011.8,2.629,8434.825,0.028,92.92591278,0.000002821
,1,47,46,93,Pd,-59001#,300#,8319#,3#,#VALUE!,#VALUE!
,-1,46,47,93,Ag,-46267#,401#,8173#,4#,#VALUE!,#VALUE!
0,26,60,34,94,Se,-36803#,500#,8180#,5#,#VALUE!,#VALUE!
,24,59,35,94,Br,-47400#,300#,8284#,3#,#VALUE!,#VALUE!
,22,58,36,94,Kr,-61347.772,12.109,8424.331,0.129,93.93414045,0.000013
,20,57,37,94,Rb,-68562.785,2.029,8492.764,0.022,93.92639482,0.000002177
,18,56,38,94,Sr,-78845.711,1.663,8593.834,0.018,93.91535564,0.000001785
,16,55,39,94,Y,-82351.463,6.38,8622.806,0.068,93.91159206,0.000006849
,14,54,40,94,Zr,-87269.322,0.164,8666.801,0.002,93.90631252,0.000000175
,12,53,41,94,Nb,-86369.062,1.491,8648.901,0.016,93.90727899,0.000001601
,10,52,42,94,Mo,-88414.065,0.141,8662.333,0.002,93.90508359,0.000000151
,8,51,43,94,Tc,-84158.317,4.071,8608.736,0.043,93.90965233,0.00000437
,6,50,44,94,Ru,-82583.591,3.143,8583.661,0.033,93.91134286,0.000003374
,4,49,45,94,Rh,-72907.613,3.379,8472.402,0.036,93.92173045,0.000003627
,2,48,46,94,Pd,-66102.268,4.287,8391.682,0.046,93.92903629,0.000004602
,0,47,47,94,Ag,-52410#,400#,8238#,4#,#VALUE!,#VALUE!
